 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Ago/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210083 Apicum-Açu";127;127;45700,82;37634,58;-;-;8066,24;-;-;359,85;359,85;436;3,4;2;1,57
"210087 Araguanã";32;33;62645,64;48901,32;-;-;13744,32;-;-;1898,35;1957,68;195;6,1;3;9,38
"210090 Araioses";93;95;114486,97;91630,76;-;-;22856,21;-;-;1205,13;1231,04;493;5,3;4;4,30
"210095 Arame";181;182;109526,66;87225,02;-;-;22301,64;-;-;601,79;605,12;349;1,9;2;1,10
"210100 Arari";47;49;87789,77;71980,11;-;-;15809,66;-;-;1791,63;1867,87;318;6,8;4;8,51
"210110 Axixá";21;23;33708,46;27626,91;-;-;6081,55;-;-;1465,59;1605,16;316;15,0;1;4,76
"210120 Bacabal";448;453;560002,86;445603,63;-;-;114399,23;-;-;1236,21;1250,01;2109;4,7;35;7,81
"210125 Bacabeira";45;46;81334,20;65904,03;-;-;15430,17;-;-;1768,13;1807,43;388;8,6;4;8,89
"210130 Bacuri";43;44;62608,22;51186,33;-;-;11421,89;-;-;1422,91;1456,01;265;6,2;1;2,33
"210135 Bacurituba";13;13;18620,28;15216,74;-;-;3403,54;-;-;1432,33;1432,33;88;6,8;-;-
"210140 Balsas";500;501;516055,22;405014,68;-;-;111040,54;-;-;1030,05;1032,11;2328;4,7;33;6,60
"210150 Barão de Grajaú";77;77;56408,93;43465,71;-;-;12943,22;-;-;732,58;732,58;328;4,3;3;3,90
"210160 Barra do Corda";338;341;314915,30;237851,90;-;-;77063,40;-;-;923,51;931,70;1137;3,4;14;4,14
"210170 Barreirinhas";267;270;238578,84;181902,41;-;-;56676,43;-;-;883,63;893,55;1482;5,6;8;3,00
"210177 Bela Vista do Maranhão";117;118;77441,90;62544,59;-;-;14897,31;-;-;656,29;661,90;347;3,0;2;1,71
