 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jul/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"171865 Rio da Conceição";7;7;8849,16;6797,38;-;-;2051,78;-;-;1264,17;1264,17;42;6,0;1;14,29
"171870 Rio dos Bois";16;16;31086,37;23204,70;-;-;7881,67;-;-;1942,90;1942,90;71;4,4;-;-
"171875 Rio Sono";9;9;12135,85;9143,13;-;-;2992,72;-;-;1348,43;1348,43;32;3,6;1;11,11
"171880 Sampaio";41;41;44822,64;34221,61;-;-;10601,03;-;-;1093,24;1093,24;193;4,7;1;2,44
"171884 Sandolândia";19;19;12097,49;8206,14;-;-;3891,35;-;-;636,71;636,71;60;3,2;1;5,26
"171886 Santa Fé do Araguaia";27;27;38338,53;29839,99;-;-;8498,54;-;-;1419,95;1419,95;140;5,2;2;7,41
"171888 Santa Maria do Tocantins";10;10;5722,85;4334,89;-;-;1387,96;-;-;572,28;572,28;46;4,6;-;-
"171889 Santa Rita do Tocantins";17;17;23403,22;18692,06;-;-;4711,16;-;-;1376,66;1376,66;56;3,3;-;-
"171890 Santa Rosa do Tocantins";21;21;35375,39;27781,15;-;-;7594,24;-;-;1684,54;1684,54;129;6,1;-;-
"171900 Santa Tereza do Tocantins";16;16;24156,49;20493,55;-;-;3662,94;-;-;1509,78;1509,78;88;5,5;1;6,25
"172000 Santa Terezinha do Tocantins";5;5;7213,26;5557,46;-;-;1655,80;-;-;1442,65;1442,65;3;0,6;1;20,00
"172010 São Bento do Tocantins";17;17;37883,91;31372,21;-;-;6511,70;-;-;2228,47;2228,47;88;5,2;1;5,88
"172015 São Félix do Tocantins";5;5;18558,25;15991,21;-;-;2567,04;-;-;3711,65;3711,65;44;8,8;-;-
"172020 São Miguel do Tocantins";30;30;19839,03;14763,03;-;-;5076,00;-;-;661,30;661,30;102;3,4;2;6,67
"172025 São Salvador do Tocantins";10;10;6821,96;4387,53;-;-;2434,43;-;-;682,20;682,20;32;3,2;-;-
"172030 São Sebastião do Tocantins";19;19;22629,65;16701,39;-;-;5928,26;-;-;1191,03;1191,03;78;4,1;-;-
"172049 São Valério";12;12;7790,96;5474,53;-;-;2316,43;-;-;649,25;649,25;35;2,9;-;-
"172065 Silvanópolis";19;19;18174,54;13825,53;-;-;4349,01;-;-;956,55;956,55;76;4,0;-;-
"172080 Sítio Novo do Tocantins";40;40;28012,75;20219,68;-;-;7793,07;-;-;700,32;700,32;135;3,4;3;7,50
"172085 Sucupira";9;9;4118,88;2731,22;-;-;1387,66;-;-;457,65;457,65;18;2,0;-;-
"172090 Taguatinga";27;27;86442,01;73139,29;-;-;13302,72;-;-;3201,56;3201,56;131;4,9;1;3,70
"172093 Taipas do Tocantins";9;9;13029,46;11200,05;-;-;1829,41;-;-;1447,72;1447,72;49;5,4;-;-
"172097 Talismã";11;11;5721,00;3798,77;-;-;1922,23;-;-;520,09;520,09;39;3,5;1;9,09
"172110 Tocantínia";60;60;62855,97;52066,57;-;-;10789,40;-;-;1047,60;1047,60;220;3,7;1;1,67
"172120 Tocantinópolis";145;145;173596,52;136654,03;-;-;36942,49;-;-;1197,22;1197,22;513;3,5;8;5,52
"172125 Tupirama";7;7;15211,56;11899,53;-;-;3312,03;-;-;2173,08;2173,08;15;2,1;-;-
"172130 Tupiratins";8;8;7073,19;5614,79;-;-;1458,40;-;-;884,15;884,15;42;5,3;-;-
"172208 Wanderlândia";39;39;41470,83;31403,36;-;-;10067,47;-;-;1063,35;1063,35;228;5,8;2;5,13
"172210 Xambioá";78;78;153646,27;130326,89;-;-;23319,38;-;-;1969,82;1969,82;432;5,5;5;6,41
"210005 Açailândia";554;556;614430,92;486327,68;-;-;128103,24;-;-;1105,09;1109,08;2276;4,1;28;5,05
"210010 Afonso Cunha";89;89;48629,48;40309,96;-;-;8319,52;-;-;546,40;546,40;335;3,8;3;3,37
"210015 Água Doce do Maranhão";38;38;69742,15;57449,83;-;-;12292,32;-;-;1835,32;1835,32;225;5,9;5;13,16
"210020 Alcântara";49;50;76916,66;62627,53;-;-;14289,13;-;-;1538,33;1569,73;329;6,7;4;8,16
"210030 Aldeias Altas";61;61;93290,97;71236,17;-;-;22054,80;-;-;1529,36;1529,36;296;4,9;5;8,20
"210040 Altamira do Maranhão";13;13;15223,75;12170,49;-;-;3053,26;-;-;1171,06;1171,06;38;2,9;-;-
"210043 Alto Alegre do Maranhão";79;81;85120,94;64051,42;-;-;21069,52;-;-;1050,88;1077,48;359;4,5;3;3,80
"210047 Alto Alegre do Pindaré";128;131;157557,34;123618,68;-;-;33938,66;-;-;1202,73;1230,92;619;4,8;4;3,13
"210050 Alto Parnaíba";21;21;27698,28;22256,09;-;-;5442,19;-;-;1318,97;1318,97;126;6,0;1;4,76
"210055 Amapá do Maranhão";23;23;15613,45;11228,35;-;-;4385,10;-;-;678,85;678,85;64;2,8;1;4,35
"210060 Amarante do Maranhão";214;214;171567,90;132212,13;-;-;39355,77;-;-;801,72;801,72;783;3,7;7;3,27
"210070 Anajatuba";89;91;94979,44;76642,40;-;-;18337,04;-;-;1043,73;1067,18;458;5,1;4;4,49
"210080 Anapurus";80;80;83392,70;63165,29;-;-;20227,41;-;-;1042,41;1042,41;274;3,4;1;1,25
"210083 Apicum-Açu";121;121;51936,25;42717,40;-;-;9218,85;-;-;429,23;429,23;405;3,3;1;0,83
"210087 Araguanã";42;43;38684,36;29672,08;-;-;9012,28;-;-;899,64;921,06;163;3,9;2;4,76
"210090 Araioses";105;105;153608,92;120730,47;-;-;32878,45;-;-;1462,94;1462,94;583;5,6;6;5,71
"210095 Arame";129;130;109159,96;87612,84;-;-;21547,12;-;-;839,69;846,20;337;2,6;4;3,10
"210100 Arari";46;47;174636,33;150281,51;-;-;24354,82;-;-;3715,67;3796,44;363;7,9;4;8,70
"210110 Axixá";24;24;25329,43;20094,08;-;-;5235,35;-;-;1055,39;1055,39;109;4,5;1;4,17
"210120 Bacabal";395;398;469173,72;369911,88;-;-;99261,84;-;-;1178,83;1187,78;1908;4,8;37;9,37
"210125 Bacabeira";47;47;91767,97;72504,93;-;-;19263,04;-;-;1952,51;1952,51;327;7,0;1;2,13
"210130 Bacuri";48;48;28583,44;22285,23;-;-;6298,21;-;-;595,49;595,49;197;4,1;1;2,08
"210135 Bacurituba";13;13;6356,84;4706,32;-;-;1650,52;-;-;488,99;488,99;82;6,3;-;-
"210140 Balsas";538;538;484308,45;378139,92;-;-;106168,53;-;-;900,20;900,20;2465;4,6;31;5,76
"210150 Barão de Grajaú";91;91;61864,92;48070,12;-;-;13794,80;-;-;679,83;679,83;329;3,6;6;6,59
"210160 Barra do Corda";313;315;409580,34;321194,05;-;-;88386,29;-;-;1300,26;1308,56;1224;3,9;19;6,07
