 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"170330 Bom Jesus do Tocantins";21;21;12082,20;9213,94;-;-;2868,26;-;-;575,34;575,34;65;3,1;1;4,76
"170360 Brasilândia do Tocantins";7;7;4049,16;2718,96;-;-;1330,20;-;-;578,45;578,45;17;2,4;-;-
"170370 Brejinho de Nazaré";17;17;25329,41;20152,04;-;-;5177,37;-;-;1489,97;1489,97;144;8,5;-;-
"170380 Buriti do Tocantins";15;15;25949,77;21892,76;-;-;4057,01;-;-;1729,98;1729,98;105;7,0;1;6,67
"170382 Cachoeirinha";7;7;4693,90;3630,05;-;-;1063,85;-;-;670,56;670,56;68;9,7;-;-
"170384 Campos Lindos";34;34;23480,58;16677,44;139,51;-;6590,14;-;-;690,61;690,61;237;7,0;-;-
"170386 Cariri do Tocantins";12;12;10440,09;6957,63;206,16;-;3165,45;-;-;870,01;870,01;54;4,5;1;8,33
"170388 Carmolândia";9;9;5660,01;4228,34;-;-;1431,67;-;-;628,89;628,89;58;6,4;-;-
"170389 Carrasco Bonito";5;5;2781,60;1837,52;-;-;944,08;-;-;556,32;556,32;30;6,0;-;-
"170390 Caseara";20;20;20496,03;14124,62;429,74;-;5706,54;-;-;1024,80;1024,80;93;4,7;-;-
"170410 Centenário";15;15;19823,43;14280,17;-;-;5543,26;-;-;1321,56;1321,56;75;5,0;-;-
"170510 Chapada da Natividade";6;6;4119,14;3027,16;223,58;-;744,10;-;-;686,52;686,52;19;3,2;1;16,67
"170460 Chapada de Areia";6;6;3023,64;1712,10;166,68;-;988,81;-;-;503,94;503,94;11;1,8;-;-
