 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Out/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";155;155;103347,72;83332,55;-;-;20015,17;-;-;666,76;666,76;513;3,3;2;1,29
"110037 Alto Alegre dos Parecis";62;62;41727,75;33372,88;-;-;8354,87;-;-;673,03;673,03;202;3,3;3;4,84
"110040 Alto Paraíso";60;60;89584,31;77666,88;-;-;11917,43;-;-;1493,07;1493,07;383;6,4;3;5,00
"110034 Alvorada D'Oeste";19;19;51899,12;43971,68;-;-;7927,44;-;-;2731,53;2731,53;162;8,5;2;10,53
"110002 Ariquemes";154;154;268696,85;225389,17;-;-;43307,68;-;-;1744,78;1744,78;939;6,1;6;3,90
"110045 Buritis";125;125;124826,85;103954,17;-;-;20872,68;-;-;998,61;998,61;591;4,7;10;8,00
"110003 Cabixi";31;31;11507,94;8965,71;-;-;2542,23;-;-;371,22;371,22;79;2,5;2;6,45
"110060 Cacaulândia";9;9;11183,55;8783,54;-;-;2400,01;-;-;1242,62;1242,62;16;1,8;-;-
"110004 Cacoal";361;361;453785,37;369460,98;-;-;84324,39;-;-;1257,02;1257,02;1580;4,4;20;5,54
"110070 Campo Novo de Rondônia";24;24;34233,90;29247,00;-;-;4986,90;-;-;1426,41;1426,41;150;6,3;1;4,17
"110080 Candeias do Jamari";92;92;135143,45;112322,89;-;-;22820,56;-;-;1468,95;1468,95;566;6,2;6;6,52
"110090 Castanheiras";9;9;4729,31;3185,31;-;-;1544,00;-;-;525,48;525,48;16;1,8;-;-
"110005 Cerejeiras";74;74;64058,70;52438,73;-;-;11619,97;-;-;865,66;865,66;260;3,5;4;5,41
"110092 Chupinguaia";40;40;40002,21;32576,70;-;-;7425,51;-;-;1000,06;1000,06;239;6,0;3;7,50
"110006 Colorado do Oeste";83;83;72641,49;58885,18;-;-;13756,31;-;-;875,20;875,20;366;4,4;5;6,02
"110007 Corumbiara";20;20;19759,50;15186,87;-;-;4572,63;-;-;987,98;987,98;66;3,3;2;10,00
