 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Set/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210320 Chapadinha";338;340;341724,79;265113,05;-;-;76611,74;-;-;1005,07;1011,02;1309;3,9;18;5,33
"210325 Cidelândia";110;110;52063,98;42532,47;-;-;9531,51;-;-;473,31;473,31;318;2,9;2;1,82
"210330 Codó";530;534;458734,63;352857,43;-;-;105877,20;-;-;859,05;865,54;2691;5,1;32;6,04
"210340 Coelho Neto";183;187;159097,02;124258,60;-;-;34838,42;-;-;850,79;869,38;1017;5,6;4;2,19
"210350 Colinas";220;221;163255,88;124621,26;-;-;38634,62;-;-;738,71;742,07;758;3,4;14;6,36
"210355 Conceição do Lago-Açu";29;29;45903,34;37515,29;-;-;8388,05;-;-;1582,87;1582,87;192;6,6;-;-
"210360 Coroatá";181;184;286406,77;236261,79;-;-;50144,98;-;-;1556,56;1582,36;968;5,3;6;3,31
"210370 Cururupu";134;135;121705,57;93088,77;-;-;28616,80;-;-;901,52;908,25;710;5,3;8;5,97
"210375 Davinópolis";34;34;38526,59;30079,38;-;-;8447,21;-;-;1133,13;1133,13;157;4,6;2;5,88
"210380 Dom Pedro";169;169;115013,61;90954,71;-;-;24058,90;-;-;680,55;680,55;447;2,6;2;1,18
"210390 Duque Bacelar";25;25;22712,73;16111,91;-;-;6600,82;-;-;908,51;908,51;79;3,2;2;8,00
"210400 Esperantinópolis";136;139;103158,68;84851,25;-;-;18307,43;-;-;742,15;758,52;504;3,7;3;2,21
"210405 Estreito";209;209;222166,68;180007,14;-;-;42159,54;-;-;1063,00;1063,00;906;4,3;9;4,31
"210407 Feira Nova do Maranhão";68;68;46020,33;35913,42;-;-;10106,91;-;-;676,77;676,77;184;2,7;-;-
"210408 Fernando Falcão";22;22;13037,82;8757,44;-;-;4280,38;-;-;592,63;592,63;87;4,0;1;4,55
"210409 Formosa da Serra Negra";105;106;78519,71;63587,23;-;-;14932,48;-;-;740,75;747,81;345;3,3;3;2,86
"210410 Fortaleza dos Nogueiras";79;79;35119,90;27909,79;-;-;7210,11;-;-;444,56;444,56;337;4,3;1;1,27
"210420 Fortuna";92;92;81108,87;63965,69;-;-;17143,18;-;-;881,62;881,62;327;3,6;2;2,17
"210430 Godofredo Viana";26;28;23960,57;17449,47;-;-;6511,10;-;-;855,73;921,56;109;4,2;1;3,85
"210440 Gonçalves Dias";138;139;63356,45;51804,48;-;-;11551,97;-;-;455,80;459,10;430;3,1;5;3,62
"210450 Governador Archer";87;87;42772,50;34828,08;-;-;7944,42;-;-;491,64;491,64;331;3,8;1;1,15
"210455 Governador Edison Lobão";81;81;71154,59;54635,82;-;-;16518,77;-;-;878,45;878,45;352;4,3;3;3,70
"210460 Governador Eugênio Barros";49;50;25128,24;19181,46;-;-;5946,78;-;-;502,56;512,82;151;3,1;-;-
"210462 Governador Luiz Rocha";24;26;19407,26;14860,21;-;-;4547,05;-;-;746,43;808,64;167;7,0;1;4,17
"210465 Governador Newton Bello";43;45;27242,26;21639,18;-;-;5603,08;-;-;605,38;633,54;159;3,7;2;4,65
"210467 Governador Nunes Freire";164;165;88678,91;66420,97;-;-;22257,94;-;-;537,45;540,73;483;2,9;2;1,22
