 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"172210 Xambioá";79;79;67467,73;48361,77;2613,80;-;14923,85;-;-;854,02;854,02;434;5,5;-;-
"210005 Açailândia";694;697;521268,27;404160,82;-;-;117107,45;-;-;747,87;751,11;2817;4,1;27;3,89
"210010 Afonso Cunha";73;73;34240,41;28518,06;-;-;5722,35;-;-;469,05;469,05;277;3,8;-;-
"210015 Água Doce do Maranhão";36;36;24120,22;19025,52;-;-;5094,70;-;-;670,01;670,01;203;5,6;-;-
"210020 Alcântara";59;60;49076,51;39922,37;-;-;9154,14;-;-;817,94;831,81;320;5,4;1;1,69
"210030 Aldeias Altas";193;193;105955,64;86206,32;-;-;19749,32;-;-;548,99;548,99;677;3,5;7;3,63
"210040 Altamira do Maranhão";25;25;34867,80;26899,61;-;-;7968,19;-;-;1394,71;1394,71;197;7,9;2;8,00
"210043 Alto Alegre do Maranhão";111;112;104850,90;83020,51;-;-;21830,39;-;-;936,17;944,60;647;5,8;3;2,70
"210047 Alto Alegre do Pindaré";198;201;111345,77;89688,10;-;-;21657,67;-;-;553,96;562,35;613;3,1;-;-
"210050 Alto Parnaíba";33;34;16887,99;13247,26;-;-;3640,73;-;-;496,71;511,76;127;3,8;1;3,03
