 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210020 Alcântara";51;53;57775,15;47636,17;-;-;10138,98;-;-;1090,10;1132,85;295;5,8;3;5,88
"210030 Aldeias Altas";161;161;65366,96;52077,23;-;-;13289,73;-;-;406,01;406,01;470;2,9;2;1,24
"210040 Altamira do Maranhão";12;12;20532,12;16838,66;-;-;3693,46;-;-;1711,01;1711,01;53;4,4;5;41,67
"210043 Alto Alegre do Maranhão";171;174;116056,15;91851,41;-;-;24204,74;-;-;666,99;678,69;849;5,0;23;13,45
"210047 Alto Alegre do Pindaré";118;122;128501,20;104377,61;-;-;24123,59;-;-;1053,29;1088,99;451;3,8;5;4,24
"210050 Alto Parnaíba";25;26;68116,68;57379,59;-;-;10737,09;-;-;2619,87;2724,67;176;7,0;1;4,00
"210055 Amapá do Maranhão";17;17;25709,87;20329,50;-;-;5380,37;-;-;1512,35;1512,35;71;4,2;2;11,76
"210060 Amarante do Maranhão";140;140;110287,14;85662,43;-;-;24624,71;-;-;787,77;787,77;487;3,5;7;5,00
"210070 Anajatuba";53;55;58126,16;46578,80;-;-;11547,36;-;-;1056,84;1096,72;273;5,2;3;5,66
"210080 Anapurus";58;58;70530,01;57073,10;-;-;13456,91;-;-;1216,03;1216,03;140;2,4;3;5,17
"210083 Apicum-Açu";118;119;55373,28;46765,53;-;-;8607,75;-;-;465,32;469,27;428;3,6;3;2,54
"210087 Araguanã";30;31;18274,29;13352,74;-;-;4921,55;-;-;589,49;609,14;106;3,5;2;6,67
"210090 Araioses";72;72;83175,06;62247,63;-;-;20927,43;-;-;1155,21;1155,21;332;4,6;5;6,94
"210095 Arame";149;150;97350,63;76114,50;-;-;21236,13;-;-;649,00;653,36;445;3,0;7;4,70
"210100 Arari";56;57;77790,05;63695,31;-;-;14094,74;-;-;1364,74;1389,11;379;6,8;3;5,36
"210110 Axixá";26;26;23151,19;18157,54;-;-;4993,65;-;-;890,43;890,43;154;5,9;1;3,85
"210120 Bacabal";364;367;494595,74;405054,01;-;-;89541,73;-;-;1347,67;1358,78;1692;4,6;47;12,91
"210125 Bacabeira";40;41;55246,96;44134,71;-;-;11112,25;-;-;1347,49;1381,17;269;6,7;5;12,50
"210130 Bacuri";145;145;84829,18;68077,53;-;-;16751,65;-;-;585,03;585,03;390;2,7;4;2,76
"210135 Bacurituba";9;9;3718,94;2329,26;-;-;1389,68;-;-;413,22;413,22;11;1,2;-;-
"210140 Balsas";534;534;516131,65;405306,88;-;-;110824,77;-;-;966,54;966,54;2446;4,6;28;5,24
"210150 Barão de Grajaú";101;101;61621,66;46399,13;-;-;15222,53;-;-;610,12;610,12;330;3,3;3;2,97
"210160 Barra do Corda";276;280;591853,11;482875,63;-;-;108977,48;-;-;2113,76;2144,40;1218;4,4;14;5,07
"210170 Barreirinhas";204;206;171093,62;129378,08;-;-;41715,54;-;-;830,55;838,69;809;4,0;9;4,41
"210177 Bela Vista do Maranhão";110;111;85228,97;70728,49;-;-;14500,48;-;-;767,83;774,81;356;3,2;3;2,73
