 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
210055 Amapá do Maranhão;22;22;10432,46;7193,97;-;-;3238,49;-;-;474,2;474,2;88;4;1;4,55;
210060 Amarante do Maranhão;204;204;131717,29;99216,68;-;-;32500,61;-;-;645,67;645,67;712;3,5;3;1,47;
210070 Anajatuba;36;37;52086,19;40036,72;-;-;12049,47;-;-;1407,73;1446,84;218;6,1;2;5,56;
210080 Anapurus;73;73;44805,15;35163,03;-;-;9642,12;-;-;613,77;613,77;203;2,8;-;-;
210083 Apicum-Açu;122;123;50520,43;41790,03;-;-;8730,4;-;-;410,74;414,1;440;3,6;-;-;
210087 Araguanã;23;23;20439,72;14967,49;-;-;5472,23;-;-;888,68;888,68;138;6;1;4,35;
210090 Araioses;66;67;47720,52;33924,76;-;-;13795,76;-;-;712,25;723,04;315;4,8;3;4,55;
210095 Arame;172;174;93283,14;72481,82;-;-;20801,32;-;-;536,11;542,34;495;2,9;1;0,58;
210100 Arari;44;48;85642,58;68808,77;-;-;16833,81;-;-;1784,22;1946,42;384;8,7;4;9,09;
210110 Axixá;36;36;65989,56;54211,14;-;-;11778,42;-;-;1833,04;1833,04;204;5,7;2;5,56;
210120 Bacabal;455;462;399048,74;320780,25;-;-;78268,49;-;-;863,74;877,03;2024;4,4;20;4,4;
210125 Bacabeira;31;31;56746,76;47539,72;-;-;9207,04;-;-;1830,54;1830,54;309;10;6;19,35;
210130 Bacuri;49;50;51499,93;40856,42;-;-;10643,51;-;-;1030;1051,02;303;6,2;1;2,04;
210135 Bacurituba;4;4;2085,86;1463,09;-;-;622,77;-;-;521,47;521,47;8;2;-;-;
210140 Balsas;474;474;441735;344809,99;-;-;96925,01;-;-;931,93;931,93;1898;4;8;1,69;
210150 Barão de Grajaú;60;60;46926,55;36163,89;-;-;10762,66;-;-;782,11;782,11;210;3,5;2;3,33;
210160 Barra do Corda;283;289;226712,28;168157,36;-;-;58554,92;-;-;784,47;801,1;1198;4,2;3;1,06;
210170 Barreirinhas;262;265;208301,71;159311,36;-;-;48990,35;-;-;786,04;795,04;1277;4,9;9;3,44;
210177 Bela Vista do Maranhão;18;18;22150,35;17132,11;-;-;5018,24;-;-;1230,57;1230,57;143;7,9;-;-;
210173 Belágua;16;16;12028,25;9404,58;-;-;2623,67;-;-;751,77;751,77;140;8,8;-;-;
210180 Benedito Leite;11;11;4939,78;3444,87;-;-;1494,91;-;-;449,07;449,07;23;2,1;-;-;
210190 Bequimão;54;54;53817,39;42163,11;-;-;11654,28;-;-;996,62;996,62;307;5,7;4;7,41;
210193 Bernardo do Mearim;10;10;16245,06;13118,69;-;-;3126,37;-;-;1624,51;1624,51;53;5,3;1;10;
210197 Boa Vista do Gurupi;24;25;17634;12208,8;-;-;5425,2;-;-;705,36;734,75;68;2,8;2;8,33;
210200 Bom Jardim;106;107;148233,39;126255,43;-;-;21977,96;-;-;1385,36;1398,43;648;6,1;6;5,66;
210203 Bom Jesus das Selvas;117;117;96173,62;78359,11;-;-;17814,51;-;-;822;822;475;4,1;1;0,85;
210207 Bom Lugar;42;42;52419,15;42722,56;-;-;9696,59;-;-;1248,08;1248,08;228;5,4;1;2,38;
210210 Brejo;31;34;51157,71;40390,44;-;-;10767,27;-;-;1504,64;1650,25;325;10,5;-;-;
210215 Brejo de Areia;17;17;21854,12;18130,36;-;-;3723,76;-;-;1285,54;1285,54;128;7,5;2;11,76;
210220 Buriti;64;64;52313,21;35732,98;-;-;16580,23;-;-;817,39;817,39;221;3,5;-;-;
210230 Buriti Bravo;175;175;88125,29;72086,97;-;-;16038,32;-;-;503,57;503,57;485;2,8;2;1,14;
210232 Buriticupu;182;186;221141,64;170547,15;-;-;50594,49;-;-;1188,93;1215,06;979;5,4;3;1,65;
210235 Buritirana;42;42;87615,65;72601,48;-;-;15014,17;-;-;2086,09;2086,09;306;7,3;4;9,52;
