 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
230565 Ipaporanga;54;54;29267,25;23071,14;-;-;6196,11;-;-;541,99;541,99;154;2,9;1;1,85;
230570 Ipaumirim;25;25;56212,45;43321,76;-;-;12890,69;-;-;2248,5;2248,5;173;6,9;1;4;
230580 Ipu;184;184;356585,07;274852,42;-;-;81732,65;-;-;1937,96;1937,96;1040;5,7;6;3,26;
230590 Ipueiras;114;116;154743,03;124311,52;-;-;30431,51;-;-;1333,99;1357,39;715;6,3;8;7,02;
230600 Iracema;66;66;40681,27;32326,38;-;-;8354,89;-;-;616,38;616,38;305;4,6;6;9,09;
230610 Irauçuba;59;59;83535,69;62611,17;-;-;20924,52;-;-;1415,86;1415,86;281;4,8;5;8,47;
230620 Itaiçaba;27;27;36215,29;26855,12;-;-;9360,17;-;-;1341,31;1341,31;208;7,7;-;-;
230625 Itaitinga;136;136;206945,89;159753,53;-;-;47192,36;-;-;1521,66;1521,66;900;6,6;5;3,68;
230630 Itapagé;102;105;198980,04;158007,2;-;-;40972,84;-;-;1895,05;1950,78;699;6,9;9;8,82;
230640 Itapipoca;452;456;654809,99;516408,35;-;-;138401,64;-;-;1435,99;1448,69;2832;6,3;23;5,09;
230650 Itapiúna;52;52;26090,48;19175,73;-;-;6914,75;-;-;501,74;501,74;185;3,6;3;5,77;
230655 Itarema;129;129;282998,93;229951,57;-;-;53047,36;-;-;2193,79;2193,79;718;5,6;3;2,33;
230660 Itatira;88;88;63664,17;44454,4;-;-;19209,77;-;-;723,46;723,46;362;4,1;2;2,27;
230670 Jaguaretama;51;51;43427,03;34256,37;-;-;9170,66;-;-;851,51;851,51;187;3,7;-;-;
230680 Jaguaribara;59;59;49985,9;37514,35;-;-;12471,55;-;-;847,22;847,22;223;3,8;2;3,39;
230690 Jaguaribe;183;185;124121,52;94377,64;-;-;29743,88;-;-;670,93;678,26;866;4,7;2;1,09;
230700 Jaguaruana;131;131;180000,09;137852,58;-;-;42147,51;-;-;1374,05;1374,05;854;6,5;3;2,29;
230710 Jardim;154;155;224261,28;183964,19;-;-;40297,09;-;-;1446,85;1456,24;895;5,8;14;9,09;
230720 Jati;40;40;37406,26;29530,82;-;-;7875,44;-;-;935,16;935,16;132;3,3;2;5;
230725 Jijoca de Jericoacoara;59;60;90950,98;68830,31;-;-;22120,67;-;-;1515,85;1541,54;306;5,2;2;3,39;
230730 Juazeiro do Norte;1159;1160;1477867,05;1191885,88;-;-;285981,17;-;-;1274,02;1275,12;7089;6,1;81;6,99;
230740 Jucás;74;74;91325,01;68991,79;-;-;22333,22;-;-;1234,12;1234,12;311;4,2;3;4,05;
230750 Lavras da Mangabeira;157;157;124888,15;99726,91;-;-;25161,24;-;-;795,47;795,47;593;3,8;3;1,91;
230760 Limoeiro do Norte;389;391;321318,46;258724,66;-;-;62593,8;-;-;821,79;826,01;1592;4,1;18;4,63;
230763 Madalena;51;51;79466,99;65205,71;-;-;14261,28;-;-;1558,18;1558,18;363;7,1;1;1,96;
230765 Maracanaú;982;996;1189640,58;910975,91;-;-;278664,67;-;-;1194,42;1211,45;5069;5,2;30;3,05;
230770 Maranguape;319;320;407137,7;316662,26;-;-;90475,44;-;-;1272,31;1276,29;1712;5,4;20;6,27;
230780 Marco;58;58;120884,5;100290,32;-;-;20594,18;-;-;2084,22;2084,22;378;6,5;5;8,62;
230790 Martinópole;39;39;57909,21;41982,33;-;-;15926,88;-;-;1484,85;1484,85;227;5,8;-;-;
230800 Massapê;160;160;237546,15;179714,98;-;-;57831,17;-;-;1484,66;1484,66;926;5,8;4;2,5;
230810 Mauriti;184;185;176479,09;138972;-;-;37507,09;-;-;953,94;959,13;705;3,8;10;5,43;
230820 Meruoca;58;58;90712,63;71321,1;-;-;19391,53;-;-;1564,01;1564,01;385;6,6;7;12,07;
230830 Milagres;111;111;146647,47;120803,48;-;-;25843,99;-;-;1321,15;1321,15;420;3,8;3;2,7;
230835 Milhã;52;52;86499,17;68074,97;-;-;18424,2;-;-;1663,45;1663,45;285;5,5;2;3,85;
230837 Miraíma;35;35;27003,34;18777,2;-;-;8226,14;-;-;771,52;771,52;163;4,7;-;-;
230840 Missão Velha;211;213;182160,9;141044,15;-;-;41116,75;-;-;855,22;863,32;811;3,8;10;4,74;
230850 Mombaça;127;128;170396,99;127378,72;-;-;43018,27;-;-;1331,23;1341,71;655;5,2;3;2,36;
230860 Monsenhor Tabosa;49;49;44634,13;34761,03;-;-;9873,1;-;-;910,9;910,9;243;5;3;6,12;
230870 Morada Nova;226;227;245579,74;190154,31;-;-;55425,43;-;-;1081,85;1086,64;1098;4,9;9;3,98;
230880 Moraújo;22;22;53248,89;41456,53;-;-;11792,36;-;-;2420,4;2420,4;146;6,6;1;4,55;
230890 Morrinhos;45;45;93712,25;72091,65;-;-;21620,6;-;-;2082,49;2082,49;253;5,6;3;6,67;
230900 Mucambo;70;70;98929,35;78992,55;-;-;19936,8;-;-;1413,28;1413,28;344;4,9;3;4,29;
230910 Mulungu;37;37;38324,9;30246,81;-;-;8078,09;-;-;1035,81;1035,81;282;7,6;1;2,7;
230920 Nova Olinda;81;81;64999,26;49818,29;-;-;15180,97;-;-;802,46;802,46;345;4,3;1;1,23;
230930 Nova Russas;157;157;159269,94;125589,1;-;-;33680,84;-;-;1014,46;1014,46;758;4,8;5;3,18;
230940 Novo Oriente;81;81;78694,44;61805,88;-;-;16888,56;-;-;971,54;971,54;316;3,9;3;3,7;
230945 Ocara;81;81;143414,63;119364,99;-;-;24049,64;-;-;1770,55;1770,55;650;8;6;7,41;
230950 Orós;48;48;47093,07;35304,12;-;-;11788,95;-;-;981,11;981,11;155;3,2;1;2,08;
230960 Pacajus;157;160;233550,19;176413,81;-;-;57136,38;-;-;1459,69;1487,58;1026;6,5;6;3,82;
230970 Pacatuba;197;201;336078,25;276964,16;-;-;59114,09;-;-;1672,03;1705,98;1212;6,2;18;9,14;
230980 Pacoti;34;34;29176,99;22012,94;-;-;7164,05;-;-;858,15;858,15;175;5,1;-;-;
230990 Pacujá;24;24;41099,21;32441,62;-;-;8657,59;-;-;1712,47;1712,47;136;5,7;1;4,17;
231000 Palhano;23;23;33631,91;28723,1;-;-;4908,81;-;-;1462,26;1462,26;134;5,8;4;17,39;
231010 Palmácia;36;37;79394,12;60426,15;-;-;18967,97;-;-;2145,79;2205,39;218;6,1;2;5,56;
231020 Paracuru;125;125;252343,8;190937,6;-;-;61406,2;-;-;2018,75;2018,75;906;7,2;6;4,8;
231025 Paraipaba;87;89;86431,26;65983,05;-;-;20448,21;-;-;971,14;993,46;511;5,9;6;6,9;
231030 Parambu;110;111;212170,4;169392,05;-;-;42778,35;-;-;1911,45;1928,82;573;5,2;3;2,73;
231040 Paramoti;35;35;30175,72;21720,39;-;-;8455,33;-;-;862,16;862,16;141;4;1;2,86;
231050 Pedra Branca;157;157;110330,22;84126,23;-;-;26203,99;-;-;702,74;702,74;885;5,6;5;3,18;
231060 Penaforte;37;37;26320,54;19453,34;-;-;6867,2;-;-;711,37;711,37;94;2,5;1;2,7;
231070 Pentecoste;102;102;129192,8;95791,03;-;-;33401,77;-;-;1266,6;1266,6;688;6,7;2;1,96;
231080 Pereiro;75;75;92984,7;70035,93;-;-;22948,77;-;-;1239,8;1239,8;450;6;3;4;
231085 Pindoretama;71;72;91171,23;69051,16;-;-;22120,07;-;-;1266,27;1284,1;368;5,2;-;-;
231090 Piquet Carneiro;64;64;79290,52;64121,11;-;-;15169,41;-;-;1238,91;1238,91;282;4,4;1;1,56;
231095 Pires Ferreira;30;30;30583,6;23843,83;-;-;6739,77;-;-;1019,45;1019,45;126;4,2;-;-;
231100 Poranga;28;28;15551,98;11229,77;-;-;4322,21;-;-;555,43;555,43;95;3,4;4;14,29;
231110 Porteiras;93;93;57087,3;43997,85;-;-;13089,45;-;-;613,84;613,84;276;3;5;5,38;
231120 Potengi;31;31;17852,51;12452,03;-;-;5400,48;-;-;575,89;575,89;140;4,5;2;6,45;
231123 Potiretama;35;35;37934,52;29643,71;-;-;8290,81;-;-;1083,84;1083,84;146;4,2;-;-;
231126 Quiterianópolis;61;61;86736,37;65527,34;-;-;21209,03;-;-;1421,91;1421,91;260;4,3;2;3,28;
231130 Quixadá;341;343;328633,89;251087,72;-;-;77546,17;-;-;958,12;963,74;1717;5;9;2,64;
231135 Quixelô;54;54;66282,82;51809,35;-;-;14473,47;-;-;1227,46;1227,46;298;5,5;1;1,85;
231140 Quixeramobim;590;590;356338,44;279462,57;-;-;76875,87;-;-;603,96;603,96;2341;4;31;5,25;
231150 Quixeré;110;112;122239,51;103254,84;-;-;18984,67;-;-;1091,42;1111,27;519;4,7;1;0,91;
231160 Redenção;126;126;110350,95;88351,97;-;-;21998,98;-;-;875,8;875,8;598;4,7;4;3,17;
231170 Reriutaba;52;52;70578,97;54686,34;-;-;15892,63;-;-;1357,29;1357,29;180;3,5;2;3,85;
231180 Russas;372;374;363269,18;286466,32;-;-;76802,86;-;-;971,31;976,53;1818;4,9;20;5,38;
231190 Saboeiro;30;30;20516,28;16189,3;-;-;4326,98;-;-;683,88;683,88;112;3,7;1;3,33;
231195 Salitre;59;59;96794,23;76973,29;-;-;19820,94;-;-;1640,58;1640,58;369;6,3;1;1,69;
231220 Santa Quitéria;158;158;256728,8;200453,01;-;-;56275,79;-;-;1624,87;1624,87;923;5,8;5;3,16;
231200 Santana do Acaraú;71;71;90106,6;72077,14;-;-;18029,46;-;-;1269,11;1269,11;429;6;4;5,63;
231210 Santana do Cariri;64;64;50474,87;38491,31;-;-;11983,56;-;-;788,67;788,67;263;4,1;2;3,13;
231230 São Benedito;167;168;239494,6;194904,37;-;-;44590,23;-;-;1425,56;1434,1;861;5,2;10;5,99;
231240 São Gonçalo do Amarante;169;174;285284,47;231973,68;-;-;53310,79;-;-;1639,57;1688,07;1090;6,4;7;4,14;
231250 São João do Jaguaribe;36;36;56089,2;44506,53;-;-;11582,67;-;-;1558,03;1558,03;191;5,3;2;5,56;
231260 São Luís do Curu;30;30;31838,52;25328,2;-;-;6510,32;-;-;1061,28;1061,28;160;5,3;2;6,67;
231270 Senador Pompeu;67;67;64191,9;50753,55;-;-;13438,35;-;-;958,09;958,09;311;4,6;5;7,46;
231280 Senador Sá;28;28;27010,55;17863,28;-;-;9147,27;-;-;964,66;964,66;100;3,6;1;3,57;
231290 Sobral;1145;1145;1480835,82;1150902,43;-;-;329933,39;-;-;1293,31;1293,31;6776;5,9;50;4,37;
231300 Solonópole;60;60;60090,01;46570,25;-;-;13519,76;-;-;1001,5;1001,5;328;5,5;5;8,33;
231310 Tabuleiro do Norte;156;158;133689,21;107685,37;-;-;26003,84;-;-;846,13;856,98;654;4,2;4;2,56;
231320 Tamboril;110;110;112758,58;90838,42;-;-;21920,16;-;-;1025,08;1025,08;401;3,6;11;10;
231325 Tarrafas;26;26;34731,75;27749,8;-;-;6981,95;-;-;1335,84;1335,84;130;5;-;-;
231330 Tauá;532;535;292912,02;231353,63;-;-;61558,39;-;-;547,5;550,59;1494;2,8;13;2,44;
231335 Tejuçuoca;44;45;57182,2;44702,64;-;-;12479,56;-;-;1270,72;1299,6;285;6,5;2;4,55;
231340 Tianguá;346;346;389454,39;304229,89;-;-;85224,5;-;-;1125,59;1125,59;1709;4,9;13;3,76;
231350 Trairi;155;155;199010,08;152563,44;-;-;46446,64;-;-;1283,94;1283,94;870;5,6;3;1,94;
231355 Tururu;47;47;26179,56;18877,06;-;-;7302,5;-;-;557,01;557,01;207;4,4;3;6,38;
231360 Ubajara;125;126;98830,63;74038,69;-;-;24791,94;-;-;784,37;790,65;523;4,2;5;4;
231370 Umari;19;19;19260,15;16773,44;-;-;2486,71;-;-;1013,69;1013,69;66;3,5;1;5,26;
231375 Umirim;72;72;64902,07;49572,09;-;-;15329,98;-;-;901,42;901,42;349;4,8;4;5,56;
231380 Uruburetama;66;67;69482,32;54864,66;-;-;14617,66;-;-;1037,05;1052,76;368;5,6;4;6,06;
231390 Uruoca;37;37;46318,03;36726,15;-;-;9591,88;-;-;1251,84;1251,84;244;6,6;3;8,11;
231395 Varjota;81;81;123887,54;98815,19;-;-;25072,35;-;-;1529,48;1529,48;495;6,1;-;-;
231400 Várzea Alegre;228;230;143205,04;111951,17;-;-;31253,87;-;-;622,63;628,09;727;3,2;6;2,63;
231410 Viçosa do Ceará;243;245;200811,59;147500,81;-;-;53310,78;-;-;819,64;826,39;1057;4,3;6;2,47;
240010 Acari;25;25;19121,76;14961,69;-;-;4160,07;-;-;764,87;764,87;145;5,8;2;8;
240020 Açu;177;177;244784,23;188935,85;-;-;55848,38;-;-;1382,96;1382,96;861;4,9;19;10,73;
240030 Afonso Bezerra;28;28;20804,84;13941,92;-;-;6862,92;-;-;743,03;743,03;126;4,5;-;-;
240040 Água Nova;14;14;20812,75;16007,3;-;-;4805,45;-;-;1486,63;1486,63;52;3,7;-;-;
240050 Alexandria;143;143;111824,16;90874,42;-;-;20949,74;-;-;781,99;781,99;381;2,7;6;4,2;
240060 Almino Afonso;17;17;15994,98;11313,57;-;-;4681,41;-;-;940,88;940,88;27;1,6;1;5,88;
240070 Alto do Rodrigues;36;36;45994,63;35191,31;-;-;10803,32;-;-;1277,63;1277,63;121;3,4;-;-;
240080 Angicos;38;38;33530,56;25440,73;-;-;8089,83;-;-;882,38;882,38;179;4,7;1;2,63;
240090 Antônio Martins;21;21;21099,22;15722,37;-;-;5376,85;-;-;1004,72;1004,72;71;3,4;1;4,76;
240100 Apodi;151;151;192037,16;151244,98;-;-;40792,18;-;-;1271,77;1271,77;823;5,5;9;5,96;
240110 Areia Branca;87;89;86855,51;67464,21;-;-;19391,3;-;-;975,9;998,34;372;4,3;3;3,45;
240120 Arês;42;42;59639,6;47382,53;-;-;12257,07;-;-;1419,99;1419,99;220;5,2;-;-;
240130 Augusto Severo;35;35;42069,8;30524,52;-;-;11545,28;-;-;1201,99;1201,99;134;3,8;3;8,57;
240140 Baía Formosa;19;19;15683,26;12066,2;-;-;3617,06;-;-;825,43;825,43;68;3,6;2;10,53;
240145 Baraúna;96;96;98646,87;70273,61;-;-;28373,26;-;-;1027,57;1027,57;282;2,9;6;6,25;
240150 Barcelona;21;21;24813,21;20390,69;-;-;4422,52;-;-;1181,58;1181,58;133;6,3;-;-;
240160 Bento Fernandes;9;10;11935,25;9719,55;-;-;2215,7;-;-;1193,53;1326,14;64;7,1;-;-;
240165 Bodó;13;15;9188,22;7277,47;-;-;1910,75;-;-;612,55;706,79;94;7,2;-;-;
240170 Bom Jesus;34;36;59415,66;44742,5;-;-;14673,16;-;-;1650,43;1747,52;222;6,5;5;14,71;
240180 Brejinho;46;46;98517,28;74631,53;-;-;23885,75;-;-;2141,68;2141,68;280;6,1;1;2,17;
240185 Caiçara do Norte;20;20;22363,47;16970,21;-;-;5393,26;-;-;1118,17;1118,17;63;3,1;-;-;
240190 Caiçara do Rio do Vento;11;12;33942,19;26696,35;-;-;7245,84;-;-;2828,52;3085,65;113;10,3;-;-;
240200 Caicó;273;273;241645,74;181885,7;-;-;59760,04;-;-;885,15;885,15;835;3,1;15;5,49;
240210 Campo Redondo;51;51;55453,14;40570,36;-;-;14882,78;-;-;1087,32;1087,32;207;4,1;2;3,92;
240220 Canguaretama;111;113;220686,45;179748,5;-;-;40937,95;-;-;1952,98;1988,17;784;7,1;3;2,7;
240230 Caraúbas;69;69;73101,41;54580,5;-;-;18520,91;-;-;1059,44;1059,44;206;3;1;1,45;
240240 Carnaúba dos Dantas;32;32;43721,98;35359,45;-;-;8362,53;-;-;1366,31;1366,31;158;4,9;3;9,38;
240250 Carnaubais;23;23;32787,19;24315,89;-;-;8471,3;-;-;1425,53;1425,53;83;3,6;2;8,7;
240260 Ceará-Mirim;259;261;364680,43;278504,11;-;-;86176,32;-;-;1397,24;1408,03;1351;5,2;13;5,02;
240270 Cerro Corá;62;62;93084,56;71263,5;-;-;21821,06;-;-;1501,36;1501,36;367;5,9;5;8,06;
240280 Coronel Ezequiel;17;17;21090,47;15321,68;-;-;5768,79;-;-;1240,62;1240,62;153;9;-;-;
240290 Coronel João Pessoa;9;9;4961,65;3352,89;-;-;1608,76;-;-;551,29;551,29;20;2,2;1;11,11;
240300 Cruzeta;19;20;47261,58;39239,96;-;-;8021,62;-;-;2363,08;2487,45;125;6,6;2;10,53;
240310 Currais Novos;165;166;254975,8;206482,35;-;-;48493,45;-;-;1536;1545,31;953;5,8;16;9,7;
240320 Doutor Severiano;21;21;46050,16;35479,75;-;-;10570,41;-;-;2192,86;2192,86;114;5,4;-;-;
240330 Encanto;27;27;34422,17;23535,74;-;-;10886,43;-;-;1274,9;1274,9;70;2,6;2;7,41;
240340 Equador;15;15;11576,29;9025,33;-;-;2550,96;-;-;771,75;771,75;60;4;1;6,67;
240350 Espírito Santo;34;35;91332,09;78348,94;-;-;12983,15;-;-;2609,49;2686,24;216;6,4;1;2,94;
240360 Extremoz;107;112;193232,39;160712,52;-;-;32519,87;-;-;1725,29;1805,91;757;7,1;7;6,54;
240370 Felipe Guerra;18;18;33401,02;21545,87;-;-;11855,15;-;-;1855,61;1855,61;61;3,4;2;11,11;
240375 Fernando Pedroza;13;13;20331,05;16412,79;-;-;3918,26;-;-;1563,93;1563,93;120;9,2;1;7,69;
240380 Florânia;31;31;55939,48;44009,76;-;-;11929,72;-;-;1804,5;1804,5;129;4,2;1;3,23;
240390 Francisco Dantas;5;5;10883,6;8852,19;-;-;2031,41;-;-;2176,72;2176,72;29;5,8;-;-;
240400 Frutuoso Gomes;16;16;8796,03;6764,45;-;-;2031,58;-;-;549,75;549,75;50;3,1;-;-;
240410 Galinhos;18;19;26959,84;19722,84;-;-;7237;-;-;1418,94;1497,77;76;4,2;-;-;
240420 Goianinha;118;119;188920,67;150799,54;-;-;38121,13;-;-;1587,57;1601,02;696;5,9;2;1,69;
240430 Governador Dix-Sept Rosado;47;47;79473,3;61067,17;-;-;18406,13;-;-;1690,92;1690,92;284;6;3;6,38;
240440 Grossos;26;26;34726,21;27620,48;-;-;7105,73;-;-;1335,62;1335,62;89;3,4;2;7,69;
240450 Guamaré;85;86;76168;59959,44;-;-;16208,56;-;-;885,67;896,09;488;5,7;5;5,88;
240460 Ielmo Marinho;23;23;27317,44;21218,02;-;-;6099,42;-;-;1187,71;1187,71;138;6;1;4,35;
240470 Ipanguaçu;53;53;42183,61;29986,82;-;-;12196,79;-;-;795,92;795,92;150;2,8;6;11,32;
240480 Ipueira;3;3;1807,59;1184,02;-;-;623,57;-;-;602,53;602,53;4;1,3;-;-;
240485 Itajá;31;31;84143,12;54993,53;-;-;29149,59;-;-;2714,29;2714,29;191;6,2;1;3,23;
240490 Itaú;20;21;44249,57;35497,06;-;-;8752,51;-;-;2107,12;2212,48;118;5,9;1;5;
240500 Jaçanã;28;29;24863,92;18348,88;-;-;6515,04;-;-;857,38;888;163;5,8;-;-;
240510 Jandaíra;21;22;35310,6;27601,3;-;-;7709,3;-;-;1605,03;1681,46;129;6,1;2;9,52;
240520 Janduís;22;22;18313,24;13141,3;-;-;5171,94;-;-;832,42;832,42;55;2,5;-;-;
240530 Januário Cicco;32;32;24199,99;17787,15;-;409,79;5852,97;409,79;150,08;756,25;756,25;134;4,2;3;9,38;
240540 Japi;27;27;44295,77;36508,04;-;-;7787,73;-;-;1640,58;1640,58;146;5,4;1;3,7;
240550 Jardim de Angicos;16;16;33291,38;28805,21;-;-;4486,17;-;-;2080,71;2080,71;114;7,1;2;12,5;
240560 Jardim de Piranhas;54;54;50672,35;38261,97;-;-;12410,38;-;-;938,38;938,38;245;4,5;3;5,56;
240570 Jardim do Seridó;48;48;64857,4;48745,9;-;-;16111,5;-;-;1351,2;1351,2;173;3,6;5;10,42;
240580 João Câmara;135;137;233801,78;191355,16;-;-;42446,62;-;-;1706,58;1731,87;1042;7,7;7;5,19;
240590 João Dias;4;4;3714,48;2806,91;-;-;907,57;-;-;928,62;928,62;14;3,5;-;-;
240600 José da Penha;22;22;35513,79;29249,16;-;-;6264,63;-;-;1614,26;1614,26;121;5,5;2;9,09;
240610 Jucurutu;41;41;50476,71;38744,15;-;-;11732,56;-;-;1231,14;1231,14;178;4,3;3;7,32;
240615 Jundiá;20;21;30234,49;24326,26;-;-;5908,23;-;-;1439,74;1511,72;150;7,5;1;5;
240620 Lagoa d'Anta;24;24;13277,21;9119,96;-;-;4157,25;-;-;553,22;553,22;78;3,3;2;8,33;
240630 Lagoa de Pedras;30;31;33480,59;27213,97;-;-;6266,62;-;-;1080,02;1116,02;218;7,3;2;6,67;
240640 Lagoa de Velhos;13;14;39764,91;32935,53;-;-;6829,38;-;-;2840,35;3058,84;124;9,5;2;15,38;
240650 Lagoa Nova;65;65;65384,87;50461,43;-;-;14923,44;-;-;1005,92;1005,92;265;4,1;4;6,15;
240660 Lagoa Salgada;63;63;87466,36;67056,02;-;-;20410,34;-;-;1388,35;1388,35;217;3,4;2;3,17;
240670 Lajes;44;45;64331,72;51708,7;-;-;12623,02;-;-;1429,59;1462,08;246;5,6;4;9,09;
240680 Lajes Pintadas;33;33;47169,19;36167,08;-;-;11002,11;-;-;1429,37;1429,37;135;4,1;2;6,06;
240690 Lucrécia;6;6;25282,61;19919,09;-;-;5363,52;-;-;4213,77;4213,77;26;4,3;-;-;
240700 Luís Gomes;26;26;30664,62;24784,6;-;-;5880,02;-;-;1179,41;1179,41;92;3,5;-;-;
240710 Macaíba;326;329;464873,84;360020,42;-;-;104853,42;-;-;1412,99;1425,99;2102;6,4;15;4,6;
240720 Macau;79;80;111475,76;86743,96;-;-;24731,8;-;-;1393,45;1411,09;450;5,7;-;-;
240725 Major Sales;26;26;24402,25;18436,94;-;-;5965,31;-;-;938,55;938,55;72;2,8;2;7,69;
240730 Marcelino Vieira;27;27;28266,03;20454,76;-;191,1;7495,33;191,1;124,84;1046,89;1046,89;124;4,6;1;3,7;
240740 Martins;14;14;14725,82;10934,81;-;-;3791,01;-;-;1051,84;1051,84;42;3;1;7,14;
240750 Maxaranguape;42;42;88529,08;67796,93;-;-;20732,15;-;-;2107,84;2107,84;356;8,5;4;9,52;
240760 Messias Targino;25;25;48544,03;38178,82;-;-;10365,21;-;-;1941,76;1941,76;94;3,8;2;8;
240770 Montanhas;45;45;67018,34;54288,11;-;-;12730,23;-;-;1489,3;1489,3;189;4,2;1;2,22;
240780 Monte Alegre;73;74;144354,36;113215,03;-;-;31139,33;-;-;1950,73;1977,46;465;6,4;4;5,48;
240790 Monte das Gameleiras;11;11;18636,67;14620,73;-;-;4015,94;-;-;1694,24;1694,24;63;5,7;-;-;
240800 Mossoró;922;923;1507375,6;1153808,05;-;-;353567,55;-;-;1633,13;1634,9;5271;5,7;52;5,64;
240810 Natal;3095;3179;5360660,31;4266072,66;-;412,32;1093953,62;412,32;221,71;1686,27;1732,04;24211;7,8;125;4,04;
240820 Nísia Floresta;89;90;179943,96;148119,52;-;-;31824,44;-;-;1999,38;2021,84;541;6,1;1;1,12;
240830 Nova Cruz;140;141;131810,25;98336,7;-;-;33473,55;-;-;934,82;941,5;634;4,5;4;2,86;
240840 Olho-d'Água do Borges;3;3;3638,42;2757,56;-;-;880,86;-;-;1212,81;1212,81;12;4;-;-;
240850 Ouro Branco;14;14;7242,01;4961,73;-;-;2280,28;-;-;517,29;517,29;39;2,8;1;7,14;
240860 Paraná;14;14;15617,88;11634,76;-;-;3983,12;-;-;1115,56;1115,56;37;2,6;1;7,14;
240870 Paraú;12;12;14684,24;11251,9;-;-;3432,34;-;-;1223,69;1223,69;74;6,2;-;-;
240880 Parazinho;17;17;12699,69;9120,96;-;-;3578,73;-;-;747,04;747,04;100;5,9;-;-;
240890 Parelhas;100;100;121143,84;93926,27;-;-;27217,57;-;-;1211,44;1211,44;405;4;5;5;
240325 Parnamirim;687;697;1189672,53;931341,66;-;-;258330,87;-;-;1706,85;1731,69;4318;6,3;28;4,08;
240910 Passa e Fica;41;41;45893,54;34426,31;-;-;11467,23;-;-;1119,35;1119,35;163;4;-;-;
240920 Passagem;20;20;17866,5;14367,5;-;-;3499;-;-;893,33;893,33;149;7,5;-;-;
240930 Patu;33;34;46152,3;34341,03;-;-;11811,27;-;-;1357,42;1398,55;209;6,3;4;12,12;
240940 Pau dos Ferros;99;100;178775,82;140727,48;-;-;38048,34;-;-;1787,76;1805,82;598;6;6;6,06;
240950 Pedra Grande;21;21;20765,67;15744,49;-;-;5021,18;-;-;988,84;988,84;147;7;1;4,76;
240960 Pedra Preta;10;10;17128,77;13434,05;-;-;3694,72;-;-;1712,88;1712,88;85;8,5;-;-;
240970 Pedro Avelino;21;22;53327,65;38255,66;-;-;15071,99;-;-;2423,98;2539,41;121;5,8;-;-;
240980 Pedro Velho;59;60;95113,72;71616,75;-;-;23496,97;-;-;1585,23;1612,1;375;6,4;3;5,08;
240990 Pendências;40;40;69623,73;55740,46;-;-;13883,27;-;-;1740,59;1740,59;228;5,7;4;10;
241000 Pilões;6;6;9609,91;7173,66;-;-;2436,25;-;-;1601,65;1601,65;47;7,8;-;-;
241010 Poço Branco;42;43;25797,26;18444,3;-;-;7352,96;-;-;599,94;614,22;185;4,4;1;2,38;
241020 Portalegre;39;39;22183,04;17964,28;-;-;4218,76;-;-;568,8;568,8;173;4,4;2;5,13;
241025 Porto do Mangue;20;20;29802,46;22887,34;-;-;6915,12;-;-;1490,12;1490,12;56;2,8;1;5;
241040 Pureza;38;39;29322,29;21941,66;-;-;7380,63;-;-;751,85;771,64;214;5,6;-;-;
241050 Rafael Fernandes;15;15;13482,25;10102,21;-;-;3380,04;-;-;898,82;898,82;94;6,3;1;6,67;
241060 Rafael Godeiro;9;9;26254,21;20502,83;-;-;5751,38;-;-;2917,13;2917,13;81;9;2;22,22;
241070 Riacho da Cruz;13;13;22818,65;17751,65;-;-;5067;-;-;1755,28;1755,28;63;4,8;-;-;
241080 Riacho de Santana;12;12;9726,29;7963,67;-;-;1762,62;-;-;810,52;810,52;51;4,3;-;-;
241090 Riachuelo;22;22;31115,97;24745,19;-;-;6370,78;-;-;1414,36;1414,36;167;7,6;-;-;
240895 Rio do Fogo;30;32;38325,46;30378;-;-;7947,46;-;-;1197,67;1277,52;183;6,1;4;13,33;
241100 Rodolfo Fernandes;15;15;10003,89;6841,32;-;-;3162,57;-;-;666,93;666,93;68;4,5;-;-;
241110 Ruy Barbosa;17;17;31612,72;25820,5;-;-;5792,22;-;-;1859,57;1859,57;127;7,5;1;5,88;
241120 Santa Cruz;225;225;309110,07;242035,74;-;-;67074,33;-;-;1373,82;1373,82;1152;5,1;10;4,44;
240933 Santa Maria;23;23;46194,44;38997,11;-;-;7197,33;-;-;2008,45;2008,45;139;6;-;-;
241140 Santana do Matos;47;47;65694,47;49754,78;-;-;15939,69;-;-;1397,75;1397,75;245;5,2;4;8,51;
241142 Santana do Seridó;6;6;10614,47;8129,1;-;-;2485,37;-;-;1769,08;1769,08;39;6,5;-;-;
241150 Santo Antônio;78;78;196486,58;160023,98;-;-;36462,6;-;-;2519,06;2519,06;461;5,9;4;5,13;
