 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Dez/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";123;123;112711,50;92494,70;-;-;20216,80;-;-;916,35;916,35;459;3,7;4;3,25
"110037 Alto Alegre dos Parecis";28;28;15670,84;11619,78;-;-;4051,06;-;-;559,67;559,67;115;4,1;2;7,14
"110040 Alto Paraíso";65;65;97167,32;82917,66;-;-;14249,66;-;-;1494,88;1494,88;227;3,5;1;1,54
"110034 Alvorada D'Oeste";13;13;35127,32;29604,98;-;-;5522,34;-;-;2702,10;2702,10;87;6,7;1;7,69
"110002 Ariquemes";168;168;311478,90;263768,64;-;-;47710,26;-;-;1854,04;1854,04;1051;6,3;7;4,17
"110045 Buritis";95;95;144741,85;120446,38;-;-;24295,47;-;-;1523,60;1523,60;450;4,7;4;4,21
"110003 Cabixi";40;40;29283,38;23497,14;-;-;5786,24;-;-;732,08;732,08;137;3,4;3;7,50
"110060 Cacaulândia";5;5;5114,80;3868,15;-;-;1246,65;-;-;1022,96;1022,96;26;5,2;-;-
"110004 Cacoal";376;376;383541,92;307844,99;-;-;75696,93;-;-;1020,06;1020,06;2101;5,6;22;5,85
"110070 Campo Novo de Rondônia";16;16;28021,21;22580,51;-;-;5440,70;-;-;1751,33;1751,33;82;5,1;1;6,25
"110080 Candeias do Jamari";102;102;172879,34;140812,19;-;-;32067,15;-;-;1694,90;1694,90;464;4,5;3;2,94
"110090 Castanheiras";10;10;28022,41;20837,41;-;-;7185,00;-;-;2802,24;2802,24;132;13,2;-;-
"110005 Cerejeiras";74;74;46176,26;37040,21;-;-;9136,05;-;-;624,00;624,00;295;4,0;-;-
"110092 Chupinguaia";26;26;23439,88;18445,12;-;-;4994,76;-;-;901,53;901,53;147;5,7;1;3,85
"110006 Colorado do Oeste";69;69;49087,91;40632,04;-;-;8455,87;-;-;711,42;711,42;336;4,9;4;5,80
"110007 Corumbiara";27;27;13663,38;9801,30;-;-;3862,08;-;-;506,05;506,05;51;1,9;2;7,41
"110008 Costa Marques";11;11;9812,15;8020,73;-;-;1791,42;-;-;892,01;892,01;62;5,6;1;9,09
"110094 Cujubim";38;38;32568,91;26557,81;-;-;6011,10;-;-;857,08;857,08;181;4,8;2;5,26
"110009 Espigão D'Oeste";120;120;63267,54;51057,97;-;-;12209,57;-;-;527,23;527,23;379;3,2;5;4,17
"110100 Governador Jorge Teixeira";5;5;4529,30;3460,62;-;-;1068,68;-;-;905,86;905,86;20;4,0;-;-
"110010 Guajará-Mirim";83;83;149980,82;129281,46;-;-;20699,36;-;-;1807,00;1807,00;482;5,8;6;7,23
