 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mai/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"171889 Santa Rita do Tocantins";4;4;2215,24;1506,44;-;-;708,80;-;-;553,81;553,81;21;5,3;-;-
"171890 Santa Rosa do Tocantins";27;27;16018,80;10280,89;-;-;5737,91;-;-;593,29;593,29;116;4,3;-;-
"171900 Santa Tereza do Tocantins";15;15;10663,45;8053,62;-;-;2609,83;-;-;710,90;710,90;33;2,2;2;13,33
"172000 Santa Terezinha do Tocantins";5;5;3388,27;2360,89;-;-;1027,38;-;-;677,65;677,65;9;1,8;-;-
"172010 São Bento do Tocantins";16;16;13125,64;10176,53;-;-;2949,11;-;-;820,35;820,35;62;3,9;-;-
"172015 São Félix do Tocantins";9;9;17852,04;15012,33;-;-;2839,71;-;-;1983,56;1983,56;44;4,9;-;-
"172020 São Miguel do Tocantins";29;29;27645,21;18860,48;-;-;8784,73;-;-;953,28;953,28;150;5,2;-;-
"172025 São Salvador do Tocantins";7;7;27272,48;24082,77;-;-;3189,71;-;-;3896,07;3896,07;55;7,9;1;14,29
"172030 São Sebastião do Tocantins";8;8;3640,15;2906,91;-;-;733,24;-;-;455,02;455,02;28;3,5;-;-
"172049 São Valério";17;17;22932,72;18103,43;-;-;4829,29;-;-;1348,98;1348,98;74;4,4;-;-
"172065 Silvanópolis";18;18;16919,85;13856,92;-;-;3062,93;-;-;939,99;939,99;78;4,3;1;5,56
"172080 Sítio Novo do Tocantins";21;21;11893,12;9014,22;-;-;2878,90;-;-;566,34;566,34;60;2,9;4;19,05
"172085 Sucupira";6;6;3668,62;2795,03;-;-;873,59;-;-;611,44;611,44;23;3,8;-;-
"172090 Taguatinga";23;23;34278,41;28649,30;-;-;5629,11;-;-;1490,37;1490,37;186;8,1;1;4,35
"172093 Taipas do Tocantins";8;8;5979,70;4607,07;95,55;-;1214,66;-;-;747,46;747,46;42;5,3;1;12,50
"172097 Talismã";7;7;7307,82;5984,98;-;-;1322,84;-;-;1043,97;1043,97;27;3,9;1;14,29
"172110 Tocantínia";41;41;31438,84;25545,32;-;-;5893,52;-;-;766,80;766,80;129;3,1;2;4,88
"172120 Tocantinópolis";99;99;86147,46;66395,83;-;-;19751,63;-;-;870,18;870,18;472;4,8;3;3,03
"172125 Tupirama";6;6;3784,77;3199,55;-;-;585,22;-;-;630,79;630,79;21;3,5;1;16,67
"172130 Tupiratins";6;6;2519,66;1846,41;-;-;673,25;-;-;419,94;419,94;19;3,2;-;-
"172208 Wanderlândia";29;29;24682,11;18834,37;-;-;5847,74;-;-;851,11;851,11;143;4,9;1;3,45
"172210 Xambioá";113;113;84202,96;65170,10;-;-;19032,86;-;-;745,16;745,16;550;4,9;6;5,31
"210005 Açailândia";559;562;536048,64;409854,55;-;-;126194,09;-;-;953,82;958,94;2191;3,9;25;4,47
"210010 Afonso Cunha";12;12;39582,30;31162,82;-;-;8419,48;-;-;3298,52;3298,52;115;9,6;-;-
"210015 Água Doce do Maranhão";23;24;23071,28;18573,78;-;-;4497,50;-;-;961,30;1003,10;95;4,1;2;8,70
"210020 Alcântara";33;35;32945,61;25056,29;-;-;7889,32;-;-;941,30;998,35;272;8,2;-;-
"210030 Aldeias Altas";182;182;78848,18;62762,41;-;-;16085,77;-;-;433,23;433,23;551;3,0;3;1,65
"210040 Altamira do Maranhão";21;21;32648,59;26524,54;-;-;6124,05;-;-;1554,69;1554,69;87;4,1;3;14,29
"210043 Alto Alegre do Maranhão";94;95;66031,13;49083,95;-;-;16947,18;-;-;695,06;702,46;441;4,7;5;5,32
"210047 Alto Alegre do Pindaré";91;93;71924,84;57613,94;-;-;14310,90;-;-;773,39;790,38;420;4,6;-;-
"210050 Alto Parnaíba";16;17;28921,28;23124,00;-;-;5797,28;-;-;1701,25;1807,58;137;8,6;1;6,25
"210055 Amapá do Maranhão";27;27;23814,15;18983,53;-;-;4830,62;-;-;882,01;882,01;120;4,4;2;7,41
"210060 Amarante do Maranhão";187;187;206927,92;161374,54;-;-;45553,38;-;-;1106,57;1106,57;674;3,6;9;4,81
"210070 Anajatuba";32;35;42897,95;34939,96;-;-;7957,99;-;-;1225,66;1340,56;245;7,7;4;12,50
"210080 Anapurus";44;44;30430,48;25162,94;-;-;5267,54;-;-;691,60;691,60;119;2,7;5;11,36
"210083 Apicum-Açu";28;29;19758,01;15171,20;-;-;4586,81;-;-;681,31;705,64;119;4,3;2;7,14
"210087 Araguanã";11;12;9228,56;7217,56;-;-;2011,00;-;-;769,05;838,96;96;8,7;-;-
"210090 Araioses";55;55;38184,37;26812,77;-;-;11371,60;-;-;694,26;694,26;202;3,7;4;7,27
"210095 Arame";43;44;39218,61;32002,04;-;-;7216,57;-;-;891,33;912,06;204;4,7;2;4,65
"210100 Arari";33;36;53022,47;45574,98;-;-;7447,49;-;-;1472,85;1606,74;343;10,4;6;18,18
"210110 Axixá";26;26;30903,14;24234,12;-;-;6669,02;-;-;1188,58;1188,58;186;7,2;3;11,54
"210120 Bacabal";440;446;514108,41;413056,53;-;-;101051,88;-;-;1152,71;1168,43;2019;4,6;35;7,95
"210125 Bacabeira";21;22;31628,10;26615,71;-;-;5012,39;-;-;1437,64;1506,10;165;7,9;3;14,29
"210130 Bacuri";45;46;50097,33;39654,61;-;-;10442,72;-;-;1089,07;1113,27;191;4,2;8;17,78
"210135 Bacurituba";9;9;3501,73;2656,11;-;-;845,62;-;-;389,08;389,08;37;4,1;-;-
"210140 Balsas";490;490;361164,34;273497,29;-;-;87667,05;-;-;737,07;737,07;1971;4,0;20;4,08
"210150 Barão de Grajaú";47;47;34075,78;25165,03;-;-;8910,75;-;-;725,02;725,02;143;3,0;1;2,13
"210160 Barra do Corda";274;279;427919,62;342458,40;-;-;85461,22;-;-;1533,76;1561,75;954;3,5;20;7,30
"210170 Barreirinhas";261;262;203941,68;151200,16;-;-;52741,52;-;-;778,40;781,39;1100;4,2;24;9,20
"210177 Bela Vista do Maranhão";9;10;31432,14;23587,08;-;-;7845,06;-;-;3143,21;3492,46;89;9,9;1;11,11
"210173 Belágua";10;10;4936,98;3432,83;-;-;1504,15;-;-;493,70;493,70;32;3,2;-;-
"210180 Benedito Leite";15;15;11104,58;8725,30;-;-;2379,28;-;-;740,31;740,31;47;3,1;1;6,67
"210190 Bequimão";90;91;94501,88;76409,51;-;-;18092,37;-;-;1038,48;1050,02;508;5,6;6;6,67
