 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Fev/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"171620 Paranã";49;49;32376,25;24410,00;-;-;7966,25;-;-;660,74;660,74;250;5,1;1;2,04
"171630 Pau D'Arco";28;28;17321,86;13624,65;372,85;-;3126,58;-;-;618,64;618,64;127;4,5;-;-
"171650 Pedro Afonso";124;124;94338,19;71386,81;323,60;-;22434,00;-;-;760,79;760,79;488;3,9;-;-
"171660 Peixe";54;54;33460,26;27020,37;-;-;6439,89;-;-;619,63;619,63;267;4,9;3;5,56
"171665 Pequizeiro";14;14;27037,62;22162,84;745,70;-;3733,52;-;-;1931,26;1931,26;86;6,1;-;-
"171700 Pindorama do Tocantins";16;16;18481,31;14072,06;-;-;4409,25;-;-;1155,08;1155,08;65;4,1;1;6,25
"171720 Piraquê";10;10;5861,21;4373,41;-;-;1487,80;-;-;586,12;586,12;23;2,3;-;-
"171750 Pium";49;49;65030,82;54123,15;-;-;10907,67;-;-;1327,16;1327,16;216;4,4;-;-
"171780 Ponte Alta do Bom Jesus";14;14;14989,70;10943,82;-;-;4045,88;-;-;1070,69;1070,69;77;5,5;1;7,14
"171790 Ponte Alta do Tocantins";16;16;11038,17;8797,89;-;-;2240,28;-;-;689,89;689,89;62;3,9;1;6,25
"171800 Porto Alegre do Tocantins";6;6;3895,74;2589,60;-;-;1306,14;-;-;649,29;649,29;22;3,7;-;-
"171820 Porto Nacional";393;393;425750,53;333669,78;3276,02;-;86999,22;-;-;1083,33;1083,33;2111;5,4;15;3,82
"171830 Praia Norte";15;15;20146,84;13466,45;-;-;6680,39;-;-;1343,12;1343,12;89;5,9;-;-
"171840 Presidente Kennedy";11;11;7153,16;5221,19;149,27;-;1709,22;-;-;650,29;650,29;23;2,1;-;-
"171845 Pugmil";14;14;12510,61;9377,99;206,16;-;2815,61;-;-;893,61;893,61;71;5,1;-;-
"171850 Recursolândia";15;15;15313,60;12802,60;-;-;2511,00;-;-;1020,91;1020,91;111;7,4;-;-
"171855 Riachinho";25;25;14813,15;11333,15;100,02;-;3310,50;-;-;592,53;592,53;125;5,0;-;-
"171865 Rio da Conceição";3;3;1845,84;1320,53;-;-;525,31;-;-;615,28;615,28;11;3,7;-;-
"171870 Rio dos Bois";9;9;4806,95;3351,99;100,02;-;1285,46;-;-;534,11;534,11;26;2,9;-;-
"171875 Rio Sono";17;17;12674,57;8144,59;429,74;-;3865,09;-;-;745,56;745,56;65;3,8;-;-
"171880 Sampaio";11;11;7192,10;4970,55;-;-;2221,55;-;-;653,83;653,83;33;3,0;-;-
"171884 Sandolândia";32;32;27167,32;22450,41;223,58;-;4369,03;-;-;848,98;848,98;95;3,0;3;9,38
"171886 Santa Fé do Araguaia";20;20;13434,29;10442,43;-;-;2991,86;-;-;671,71;671,71;158;7,9;-;-
"171888 Santa Maria do Tocantins";9;9;3849,20;2409,55;223,58;-;1091,77;-;-;427,69;427,69;31;3,4;1;11,11
"171889 Santa Rita do Tocantins";6;6;4849,58;3450,47;-;-;1399,11;-;-;808,26;808,26;20;3,3;1;16,67
"171890 Santa Rosa do Tocantins";22;22;19190,61;14218,72;-;-;4971,89;-;-;872,30;872,30;113;5,1;1;4,55
"171900 Santa Tereza do Tocantins";20;20;15638,57;11445,75;362,06;-;3586,76;-;-;781,93;781,93;91;4,5;-;-
"172000 Santa Terezinha do Tocantins";7;7;4496,96;3143,10;-;-;1353,86;-;-;642,42;642,42;18;2,6;-;-
"172010 São Bento do Tocantins";12;12;94844,11;80057,80;-;-;14786,31;-;-;7903,68;7903,68;95;7,9;-;-
"172015 São Félix do Tocantins";7;7;4567,24;3120,68;-;-;1446,56;-;-;652,46;652,46;13;1,9;-;-
"172020 São Miguel do Tocantins";29;29;18875,80;12512,28;-;-;6363,52;-;-;650,89;650,89;70;2,4;-;-
"172025 São Salvador do Tocantins";9;9;10208,88;8439,41;-;-;1769,47;-;-;1134,32;1134,32;39;4,3;-;-
"172030 São Sebastião do Tocantins";13;13;26121,71;22009,67;-;-;4112,04;-;-;2009,36;2009,36;67;5,2;-;-
"172049 São Valério";19;19;16427,19;12919,25;323,60;-;2990,56;-;-;864,59;864,59;88;4,6;1;5,26
"172065 Silvanópolis";27;27;14245,98;9606,56;708,32;-;3634,06;-;-;527,63;527,63;78;2,9;1;3,70
"172080 Sítio Novo do Tocantins";29;29;26586,44;19828,29;-;-;6758,15;-;-;916,77;916,77;130;4,5;-;-
"172085 Sucupira";9;9;5065,55;3316,03;223,58;-;1401,64;-;-;562,84;562,84;22;2,4;-;-
"172090 Taguatinga";24;24;13276,60;9882,39;-;-;3394,21;-;-;553,19;553,19;151;6,3;-;-
"172093 Taipas do Tocantins";5;5;3041,24;2676,33;-;-;364,91;-;-;608,25;608,25;39;7,8;-;-
"172097 Talismã";16;16;8751,55;5798,22;560,32;-;2133,64;-;-;546,97;546,97;54;3,4;-;-
"172110 Tocantínia";51;51;60242,54;48365,57;466,74;-;11045,74;-;-;1181,23;1181,23;194;3,8;4;7,84
"172120 Tocantinópolis";101;101;86008,40;68041,58;-;-;17966,82;-;-;851,57;851,57;338;3,3;1;0,99
"172125 Tupirama";8;8;3636,53;2828,24;-;-;808,29;-;-;454,57;454,57;23;2,9;-;-
"172130 Tupiratins";11;11;9559,55;6507,67;421,71;-;2371,69;-;-;869,05;869,05;26;2,4;-;-
"172208 Wanderlândia";33;33;44286,16;34486,75;-;-;9799,41;-;-;1342,00;1342,00;278;8,4;2;6,06
"172210 Xambioá";82;82;59764,87;42125,66;1067,98;-;15948,95;-;-;728,84;728,84;336;4,1;1;1,22
"210005 Açailândia";460;463;358202,48;278623,35;-;-;79579,13;-;-;773,66;778,70;1966;4,3;16;3,48
"210010 Afonso Cunha";71;71;35444,57;29311,10;-;-;6133,47;-;-;499,22;499,22;239;3,4;-;-
"210015 Água Doce do Maranhão";32;32;15605,80;11384,50;-;-;4221,30;-;-;487,68;487,68;100;3,1;-;-
"210020 Alcântara";48;51;61344,15;50930,03;-;-;10414,12;-;-;1202,83;1278,00;407;8,5;2;4,17
"210030 Aldeias Altas";204;204;120699,85;97209,94;-;-;23489,91;-;-;591,67;591,67;736;3,6;5;2,45
"210040 Altamira do Maranhão";17;17;23374,87;19372,24;-;-;4002,63;-;-;1374,99;1374,99;88;5,2;1;5,88
