Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,World,WLD,4.23178829029551,4.34729529223644,4.49325311257151,4.40358172219123,4.34262881846809,4.49309089201382,4.5589829182199,4.65301625402789,4.69608639117884,4.60108151383721,4.40663828405636,4.31495959051795,4.28613532052671,4.33907719216679,4.42831174426862,4.41225211266533,4.46192292369504,4.5654026650426,4.56647413655811,3.90296442208953,3.87459070366712,3.8040110141891,3.76932763065973,3.73238477723104,3.78198243880963,3.80669402508563,3.81351522660908,3.78061093527244,3.74776606615907,3.8126493115353,3.82765888146696,3.83475135105644,3.95850274353281,4.09225166167835,4.19630121305972,4.28100643229647,4.39186677996519,4.37691721578986,4.27713136952081,4.48314795598468,4.57012310289469,4.57876814606997,4.61022927939351,4.56077424339036,4.48877009116037,4.43675907864533,4.44130858245966,4.48352391238305,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
