ano,sigla_uf,nome_municipio,pibpercapita
2018,RO,Alta Floresta D'oeste,21552.466094013034
2018,RO,Ariquemes,23206.364064501544
2018,RO,Cabixi,25837.121919823465
2018,RO,Cacoal,25708.95990001533
2018,RO,Cerejeiras,28714.353806859646
2018,RO,Colorado Do Oeste,20362.880815924076
2018,RO,Corumbiara,42371.912647019955
2018,RO,Costa Marques,12890.702940352843
2018,RO,Espigão D'oeste,18984.54869410553
2018,RO,Guajará-Mirim,18279.320184347904
2018,RO,Jaru,28433.311516761984
2018,RO,Ji-Paraná,26287.34985575457
2018,RO,Machadinho D'oeste,16423.32626544236
2018,RO,Nova Brasilândia D'oeste,18086.145021750817
2018,RO,Ouro Preto Do Oeste,22252.798101265824
2018,RO,Pimenta Bueno,31046.758961409672
2018,RO,Porto Velho,32042.664626364935
2018,RO,Presidente Médici,21515.829460559533
2018,RO,Rio Crespo,28611.660488853075
2018,RO,Rolim De Moura,24077.573342839383
2018,RO,Santa Luzia D'oeste,21625.88571007226
2018,RO,Vilhena,28420.11458418849
2018,RO,São Miguel Do Guaporé,31025.713793554576
2018,RO,Nova Mamoré,17095.188493463724
2018,RO,Alvorada D'oeste,17423.486890368156
2018,RO,Alto Alegre Dos Parecis,21053.926816360476
2018,RO,Alto Paraíso,15655.565074527358
2018,RO,Buritis,17489.18339882374
2018,RO,Novo Horizonte Do Oeste,18946.143412181464
2018,RO,Cacaulândia,22718.845880452343
2018,RO,Campo Novo De Rondônia,20011.497894210865
2018,RO,Candeias Do Jamari,21856.509256052035
2018,RO,Castanheiras,36238.14171208721
2018,RO,Chupinguaia,27680.64514054749
2018,RO,Cujubim,14739.398992817634
2018,RO,Governador Jorge Teixeira,22085.286102532427
2018,RO,Itapuã Do Oeste,17551.213687694704
2018,RO,Ministro Andreazza,21126.067096906372
2018,RO,Mirante Da Serra,19672.110920577616
2018,RO,Monte Negro,18031.401975151322
2018,RO,Nova União,17178.055910316445
2018,RO,Parecis,17923.33798553893
2018,RO,Pimenteiras Do Oeste,47731.226837060705
2018,RO,Primavera De Rondônia,20598.80299421572
2018,RO,São Felipe D'oeste,16961.438446969696
2018,RO,São Francisco Do Guaporé,17778.539411349662
2018,RO,Seringueiras,19812.879932546373
2018,RO,Teixeirópolis,20370.33143248175
2018,RO,Theobroma,18292.837812083097
2018,RO,Urupá,18617.75747963995
2018,RO,Vale Do Anari,14505.186071817192
2018,RO,Vale Do Paraíso,21454.91397542155
2018,AC,Acrelândia,15737.642210386151
2018,AC,Assis Brasil,12532.31410958904
2018,AC,Brasiléia,16165.246518105849
2018,AC,Bujari,15606.4722579369
2018,AC,Capixaba,14874.5219099162
2018,AC,Cruzeiro Do Sul,16261.389264653884
2018,AC,Epitaciolândia,25349.752676305045
2018,AC,Feijó,10500.719538572459
2018,AC,Jordão,9428.704375536217
2018,AC,Mâncio Lima,10629.446560789784
2018,AC,Manoel Urbano,13389.932733504713
2018,AC,Marechal Thaumaturgo,10462.829679869777
2018,AC,Plácido De Castro,12926.472885254281
2018,AC,Porto Walter,9569.609300341297
2018,AC,Rio Branco,22287.702209869003
2018,AC,Rodrigues Alves,9973.264645482059
2018,AC,Santa Rosa Do Purus,11233.491512103112
2018,AC,Senador Guiomard,16360.606751424813
2018,AC,Sena Madureira,11475.22283462824
2018,AC,Tarauacá,11645.351248332381
2018,AC,Xapuri,12553.212883242335
2018,AC,Porto Acre,12855.641804180417
2018,AM,Alvarães,10707.178562421186
2018,AM,Amaturá,7332.397017296153
2018,AM,Anamã,8767.898786645565
2018,AM,Anori,10626.785422144318
2018,AM,Apuí,9730.418801834778
2018,AM,Atalaia Do Norte,7330.000051445622
2018,AM,Autazes,9196.43721349472
2018,AM,Barcelos,6145.958741412074
2018,AM,Barreirinha,8192.417655809832
2018,AM,Benjamin Constant,7346.065635411709
2018,AM,Beruri,7868.689479696749
2018,AM,Boa Vista Do Ramos,7438.547734412438
2018,AM,Boca Do Acre,12248.291882505298
2018,AM,Borba,7487.08820411685
2018,AM,Caapiranga,12138.875592141027
2018,AM,Canutama,6965.243495145631
2018,AM,Carauari,10911.104644536259
2018,AM,Careiro,8414.965493259147
2018,AM,Careiro Da Várzea,11396.038317283324
2018,AM,Coari,23921.534163185876
2018,AM,Codajás,17818.34434163701
2018,AM,Eirunepé,14854.890097588977
2018,AM,Envira,8007.739373601789
2018,AM,Fonte Boa,9929.222161242522
2018,AM,Guajará,7528.768274853801
2018,AM,Humaitá,11521.067498750022
2018,AM,Ipixuna,5263.414267445478
2018,AM,Iranduba,14276.346072186836
2018,AM,Itacoatiara,18818.50354659597
2018,AM,Itamarati,12064.45423427992
2018,AM,Itapiranga,12126.799757281553
2018,AM,Japurá,19244.20091883614
2018,AM,Juruá,7255.761528787032
2018,AM,Jutaí,15198.119975598183
2018,AM,Lábrea,10941.940943750691
2018,AM,Manacapuru,14839.868760131343
2018,AM,Manaquiri,8834.02738626513
2018,AM,Manaus,36445.752615309466
2018,AM,Manicoré,9633.658586336896
2018,AM,Maraã,7062.76806334543
2018,AM,Maués,7988.188638355509
2018,AM,Nhamundá,7250.546533326953
2018,AM,Nova Olinda Do Norte,6718.545818468996
2018,AM,Novo Airão,7168.780014757036
2018,AM,Novo Aripuanã,7900.206403296746
2018,AM,Parintins,9890.963187473491
2018,AM,Pauini,8119.230482694397
2018,AM,Presidente Figueiredo,23264.000028286944
2018,AM,Rio Preto Da Eva,11769.802222426866
2018,AM,Santa Isabel Do Rio Negro,5628.907718120805
2018,AM,Santo Antônio Do Içá,8252.19762360011
2018,AM,São Gabriel Da Cachoeira,7344.411772581221
2018,AM,São Paulo De Olivença,6519.379722186161
2018,AM,São Sebastião Do Uatumã,8561.913116550968
2018,AM,Silves,11130.48518111965
2018,AM,Tabatinga,8274.57361059422
2018,AM,Tapauá,14307.962020926065
2018,AM,Tefé,15530.315905841673
2018,AM,Tonantins,7191.4749059645355
2018,AM,Uarini,14026.011279599612
2018,AM,Urucará,20171.842763840566
2018,AM,Urucurituba,7381.228868083595
2018,RR,Amajari,13690.883249959657
2018,RR,Alto Alegre,17912.434966108198
2018,RR,Boa Vista,26752.666439337834
2018,RR,Bonfim,22953.424981643144
2018,RR,Cantá,15025.687877770315
2018,RR,Caracaraí,16093.390280096457
2018,RR,Caroebe,17928.783216080403
2018,RR,Iracema,13783.974137931034
2018,RR,Mucajaí,17661.30859196714
2018,RR,Normandia,13897.19194205523
2018,RR,Pacaraima,13123.042297817716
2018,RR,Rorainópolis,18536.041986929875
2018,RR,São João Da Baliza,22072.82265275708
2018,RR,São Luiz,17693.76730279898
2018,RR,Uiramutã,10754.785084745763
2018,PA,Abaetetuba,9046.130780846108
2018,PA,Abel Figueiredo,11136.561636412896
2018,PA,Acará,16467.173058562857
2018,PA,Afuá,9207.834444072769
2018,PA,Água Azul Do Norte,15529.785140046253
2018,PA,Alenquer,10034.933215297451
2018,PA,Almeirim,17327.18932692871
2018,PA,Altamira,24049.70991651575
2018,PA,Anajás,7166.517897363041
2018,PA,Ananindeua,14314.962286373167
2018,PA,Anapu,13582.652148300873
2018,PA,Augusto Corrêa,6719.530450830477
2018,PA,Aurora Do Pará,8442.603152511652
2018,PA,Aveiro,7212.721031091564
2018,PA,Bagre,6929.132127028558
2018,PA,Baião,7471.710423129955
2018,PA,Bannach,23608.332326283988
2018,PA,Barcarena,38739.32431681031
2018,PA,Belém,21191.472867246583
2018,PA,Belterra,9032.659555152066
2018,PA,Benevides,25772.347728120087
2018,PA,Bom Jesus Do Tocantins,10451.713378065435
2018,PA,Bonito,9464.791931662303
2018,PA,Bragança,8920.182756493405
2018,PA,Brasil Novo,16581.598025016458
2018,PA,Brejo Grande Do Araguaia,10576.306006493507
2018,PA,Breu Branco,8800.875729864994
2018,PA,Breves,7986.64773139924
2018,PA,Bujaru,15721.510509156493
2018,PA,Cachoeira Do Piriá,5408.3853457110135
2018,PA,Cachoeira Do Arari,7811.711113952101
2018,PA,Cametá,8333.514825133807
2018,PA,Canaã Dos Carajás,197137.6946740638
2018,PA,Capanema,14974.295295557888
2018,PA,Capitão Poço,9217.63048413592
2018,PA,Castanhal,19728.125440003227
2018,PA,Chaves,7983.693339579252
2018,PA,Colares,6718.0416943521595
2018,PA,Conceição Do Araguaia,11577.953995055936
2018,PA,Concórdia Do Pará,8940.134898164217
2018,PA,Cumaru Do Norte,21930.136201532743
2018,PA,Curionópolis,45532.54257799489
2018,PA,Curralinho,14591.110081727791
2018,PA,Curuá,8770.893146439388
2018,PA,Curuçá,7355.013758219525
2018,PA,Dom Eliseu,11626.489466720945
2018,PA,Eldorado Dos Carajás,11216.382253370553
2018,PA,Faro,7505.971854078426
2018,PA,Floresta Do Araguaia,16942.97579681275
2018,PA,Garrafão Do Norte,8407.1951575711
2018,PA,Goianésia Do Pará,8517.093659833907
2018,PA,Gurupá,8176.919675062896
2018,PA,Igarapé-Açu,9202.314139110604
2018,PA,Igarapé-Miri,6251.331056050036
2018,PA,Inhangapi,10914.108140842633
2018,PA,Ipixuna Do Pará,8311.477591866143
2018,PA,Irituia,6568.827590450406
2018,PA,Itaituba,17949.2692958248
2018,PA,Itupiranga,9760.027603324434
2018,PA,Jacareacanga,51864.99269580852
2018,PA,Jacundá,8283.602716526677
2018,PA,Juruti,17514.790257960216
