 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Out/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"170610 Cristalândia";29;29;28271,33;20440,96;827,27;-;6522,12;-;-;974,87;974,87;145;5,0;-;-
"170625 Crixás do Tocantins";5;5;8515,15;7016,96;92,65;-;1341,48;-;-;1703,03;1703,03;39;7,8;-;-
"170650 Darcinópolis";29;29;22859,78;16673,90;596,43;-;5272,63;-;-;788,27;788,27;161;5,6;1;3,45
"170700 Dianópolis";90;90;78560,72;51176,00;133,56;-;27159,04;-;-;872,90;872,90;415;4,6;-;-
"170710 Divinópolis do Tocantins";39;39;141565,94;123219,13;298,54;-;17901,31;-;-;3629,90;3629,90;281;7,2;1;2,56
"170720 Dois Irmãos do Tocantins";15;15;9529,42;7296,86;95,55;-;2074,59;-;-;635,29;635,29;36;2,4;1;6,67
"170730 Dueré";19;19;15510,57;11364,91;-;-;4145,66;-;-;816,35;816,35;86;4,5;-;-
"170740 Esperantina";25;25;17774,95;11479,56;300,14;-;5769,53;-;-;711,00;711,00;116;4,6;2;8,00
"170755 Fátima";12;12;6726,54;5380,95;-;-;1345,59;-;-;560,55;560,55;79;6,6;1;8,33
"170765 Figueirópolis";24;24;20778,81;14858,89;323,60;-;5402,54;-;-;865,78;865,78;187;7,8;1;4,17
"170770 Filadélfia";29;29;41595,50;32240,77;134,12;-;9130,13;-;-;1434,33;1434,33;163;5,6;1;3,45
"170820 Formoso do Araguaia";70;70;109039,07;90736,39;952,13;-;16816,20;-;-;1557,70;1557,70;534;7,6;6;8,57
"170825 Fortaleza do Tabocão";16;16;10451,38;7964,28;-;-;2487,10;-;-;653,21;653,21;61;3,8;2;12,50
"170830 Goianorte";24;24;22937,85;17918,84;241,92;-;4639,55;-;-;955,74;955,74;168;7,0;2;8,33
"170900 Goiatins";52;52;36228,56;27250,50;149,27;-;8755,31;-;-;696,70;696,70;337;6,5;3;5,77
"170930 Guaraí";108;108;109451,47;79372,88;1805,45;-;27274,40;-;-;1013,44;1013,44;537;5,0;4;3,70
"170950 Gurupi";396;397;452645,50;356254,98;1953,68;-;93111,84;-;-;1140,16;1143,04;2440;6,2;22;5,56
"170980 Ipueiras";12;12;6451,25;5060,66;-;-;1390,59;-;-;537,60;537,60;77;6,4;1;8,33
"171050 Itacajá";35;35;52077,97;41019,11;179,60;-;10719,38;-;-;1487,94;1487,94;244;7,0;1;2,86
"171070 Itaguatins";14;14;11543,28;8558,35;-;-;2984,93;-;-;824,52;824,52;140;10,0;1;7,14
"171090 Itapiratins";19;19;30662,42;24553,95;-;-;6108,47;-;-;1613,81;1613,81;100;5,3;1;5,26
"171110 Itaporã do Tocantins";5;5;14624,79;12960,40;100,02;-;1494,89;-;-;2924,96;2924,96;65;13,0;-;-
"171150 Jaú do Tocantins";16;16;7683,81;5634,78;-;-;2049,03;-;-;480,24;480,24;56;3,5;1;6,25
"171180 Juarina";14;14;9376,61;6373,00;-;-;3003,61;-;-;669,76;669,76;42;3,0;1;7,14
"171190 Lagoa da Confusão";74;74;52105,10;39826,62;571,25;-;11347,32;-;-;704,12;704,12;350;4,7;1;1,35
"171195 Lagoa do Tocantins";21;21;13207,53;7934,45;409,45;-;4597,07;-;-;628,93;628,93;97;4,6;1;4,76
"171200 Lajeado";25;25;15172,36;9745,89;789,43;-;4076,61;-;-;606,89;606,89;125;5,0;-;-
"171215 Lavandeira";8;8;19599,45;14354,82;-;-;5244,63;-;-;2449,93;2449,93;76;9,5;-;-
"171240 Lizarda";11;11;6219,89;3740,05;48,86;-;2370,28;-;-;565,44;565,44;14;1,3;-;-
"171245 Luzinópolis";6;6;14120,32;10518,14;-;-;3602,18;-;-;2353,39;2353,39;62;10,3;-;-
"171250 Marianópolis do Tocantins";28;28;23604,59;17589,08;671,39;-;4999,39;-;-;843,02;843,02;202;7,2;-;-
"171270 Mateiros";6;6;2950,16;2044,17;-;-;905,99;-;-;491,69;491,69;14;2,3;-;-
"171280 Maurilândia do Tocantins";6;6;2533,20;1790,56;-;-;742,64;-;-;422,20;422,20;18;3,0;-;-
"171320 Miracema do Tocantins";135;136;78849,14;56175,68;2640,25;-;18399,17;-;-;579,77;584,07;702;5,2;4;2,96
"171330 Miranorte";98;98;88635,37;66408,58;1766,95;-;19295,33;-;-;904,44;904,44;530;5,4;3;3,06
"171360 Monte do Carmo";26;26;13785,22;9788,72;-;-;3996,50;-;-;530,20;530,20;126;4,8;-;-
"171370 Monte Santo do Tocantins";9;9;6507,39;4781,17;372,64;-;1142,13;-;-;723,04;723,04;52;5,8;2;22,22
"171395 Muricilândia";10;10;5445,52;3342,82;223,58;-;1754,82;-;-;544,55;544,55;40;4,0;-;-
"171420 Natividade";39;39;27250,89;21280,19;-;-;5970,70;-;-;698,74;698,74;224;5,7;1;2,56
"171430 Nazaré";16;16;20222,48;16110,23;-;-;4112,25;-;-;1263,90;1263,90;162;10,1;1;6,25
"171488 Nova Olinda";43;43;54997,24;45091,85;635,90;-;8923,49;-;-;1279,01;1279,01;286;6,7;1;2,33
"171500 Nova Rosalândia";13;13;10869,02;8438,55;181,15;-;2172,17;-;-;836,08;836,08;82;6,3;-;-
"171510 Novo Acordo";21;21;22343,18;17050,03;-;-;5293,15;-;-;1063,96;1063,96;114;5,4;-;-
"171515 Novo Alegre";3;3;952,86;586,20;100,02;-;197,16;-;-;317,62;317,62;9;3,0;-;-
"171525 Novo Jardim";12;12;41834,92;32953,95;-;-;8880,97;-;-;3486,24;3486,24;90;7,5;1;8,33
"171550 Oliveira de Fátima";3;3;1506,18;1146,56;-;-;359,62;-;-;502,06;502,06;5;1,7;-;-
"172100 Palmas";1488;1488;1623278,59;1212467,41;9799,23;-;396276,38;-;-;1090,91;1090,91;7956;5,3;47;3,16
"171570 Palmeirante";24;24;30701,66;23518,57;298,33;-;6729,39;-;-;1279,24;1279,24;124;5,2;-;-
"171380 Palmeiras do Tocantins";15;15;24254,98;18342,48;-;-;5912,50;-;-;1617,00;1617,00;82;5,5;-;-
"171575 Palmeirópolis";25;25;13335,46;10301,25;-;-;3034,21;-;-;533,42;533,42;84;3,4;1;4,00
"171610 Paraíso do Tocantins";266;266;277786,51;204574,12;5132,29;-;65401,75;-;-;1044,31;1044,31;1491;5,6;6;2,26
"171620 Paranã";55;55;35711,50;28623,44;-;-;7088,06;-;-;649,30;649,30;220;4,0;1;1,82
"171630 Pau D'Arco";43;43;33672,07;26154,37;361,34;-;6990,67;-;-;783,07;783,07;195;4,5;2;4,65
"171650 Pedro Afonso";88;88;75941,05;58165,45;902,84;-;16371,17;-;-;862,97;862,97;438;5,0;2;2,27
"171660 Peixe";58;58;59457,25;48266,27;-;-;11190,98;-;-;1025,13;1025,13;286;4,9;-;-
"171665 Pequizeiro";22;22;44870,04;37934,69;149,27;-;6717,86;-;-;2039,55;2039,55;185;8,4;-;-
"171700 Pindorama do Tocantins";27;27;20428,73;16881,75;-;-;3546,98;-;-;756,62;756,62;150;5,6;2;7,41
"171720 Piraquê";18;18;23252,23;15167,10;670,74;-;7041,49;-;-;1291,79;1291,79;100;5,6;1;5,56
"171750 Pium";41;41;29822,33;21978,47;223,58;-;7495,98;-;-;727,37;727,37;139;3,4;-;-
"171780 Ponte Alta do Bom Jesus";10;10;4895,59;3979,14;-;-;916,45;-;-;489,56;489,56;67;6,7;-;-
"171790 Ponte Alta do Tocantins";26;26;16954,44;13227,81;81,57;-;3554,38;-;-;652,09;652,09;117;4,5;1;3,85
"171800 Porto Alegre do Tocantins";8;8;5499,91;3409,49;-;-;2090,42;-;-;687,49;687,49;22;2,8;-;-
"171820 Porto Nacional";463;463;357573,62;278017,07;924,40;-;78032,50;-;-;772,30;772,30;2315;5,0;10;2,16
"171830 Praia Norte";11;11;10367,14;6925,92;331,20;-;2816,83;-;-;942,47;942,47;32;2,9;-;-
"171840 Presidente Kennedy";9;9;26682,29;22675,35;-;-;4006,94;-;-;2964,70;2964,70;62;6,9;1;11,11
"171845 Pugmil";7;7;4654,56;3462,60;149,27;-;974,47;-;-;664,94;664,94;47;6,7;2;28,57
"171850 Recursolândia";18;18;10685,57;7562,59;149,06;-;2886,77;-;-;593,64;593,64;91;5,1;1;5,56
"171855 Riachinho";21;21;14834,80;10145,76;204,89;-;4409,11;-;-;706,42;706,42;105;5,0;1;4,76
"171865 Rio da Conceição";9;9;3608,02;2573,86;-;-;1034,16;-;-;400,89;400,89;44;4,9;1;11,11
"171870 Rio dos Bois";18;18;8215,68;6118,03;-;-;2097,65;-;-;456,43;456,43;118;6,6;-;-
"171875 Rio Sono";32;32;30060,56;22155,98;858,21;-;6611,88;-;-;939,39;939,39;276;8,6;-;-
"171880 Sampaio";5;5;4405,31;2747,58;431,61;-;925,41;-;-;881,06;881,06;16;3,2;1;20,00
"171884 Sandolândia";36;36;23791,48;19213,86;-;-;4577,62;-;-;660,87;660,87;112;3,1;1;2,78
"171886 Santa Fé do Araguaia";29;29;47757,44;39312,46;100,02;-;8275,48;-;-;1646,81;1646,81;188;6,5;1;3,45
"171888 Santa Maria do Tocantins";10;10;5396,07;3762,48;90,92;-;1505,11;-;-;539,61;539,61;30;3,0;-;-
"171889 Santa Rita do Tocantins";5;5;7376,61;4671,19;-;-;2705,42;-;-;1475,32;1475,32;29;5,8;-;-
"171890 Santa Rosa do Tocantins";28;28;28858,99;21730,77;-;-;7128,22;-;-;1030,68;1030,68;134;4,8;2;7,14
"171900 Santa Tereza do Tocantins";9;9;6034,72;4204,14;-;-;1830,58;-;-;670,52;670,52;15;1,7;1;11,11
"172000 Santa Terezinha do Tocantins";8;8;16685,80;13495,38;204,89;-;2910,49;-;-;2085,72;2085,72;61;7,6;-;-
"172010 São Bento do Tocantins";11;11;6818,39;4068,52;431,88;-;1978,81;-;-;619,85;619,85;65;5,9;-;-
"172015 São Félix do Tocantins";9;9;22256,87;18307,22;-;-;3949,65;-;-;2472,99;2472,99;68;7,6;-;-
"172020 São Miguel do Tocantins";23;23;22983,81;16108,92;287,62;-;6374,04;-;-;999,30;999,30;113;4,9;-;-
"172025 São Salvador do Tocantins";5;5;4483,18;2874,53;206,16;-;1291,64;-;-;896,64;896,64;14;2,8;-;-
"172030 São Sebastião do Tocantins";10;10;6211,62;4165,34;451,44;-;1333,91;-;-;621,16;621,16;23;2,3;-;-
"172049 São Valério";19;19;14100,51;10663,56;336,52;-;2902,81;-;-;742,13;742,13;89;4,7;-;-
"172065 Silvanópolis";32;32;38503,76;30862,22;-;-;7641,54;-;-;1203,24;1203,24;255;8,0;-;-
"172080 Sítio Novo do Tocantins";21;21;43194,33;34770,49;587,32;-;7547,85;-;-;2056,87;2056,87;164;7,8;-;-
"172085 Sucupira";4;4;2333,50;1655,42;111,95;-;498,05;-;-;583,38;583,38;29;7,3;1;25,00
"172090 Taguatinga";17;17;13863,14;10600,44;-;-;3262,70;-;-;815,48;815,48;100;5,9;2;11,76
"172093 Taipas do Tocantins";13;13;6653,75;4691,98;-;-;1961,77;-;-;511,83;511,83;32;2,5;1;7,69
"172097 Talismã";11;11;5292,67;3039,67;542,68;-;1401,85;-;-;481,15;481,15;33;3,0;-;-
