 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Dez/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"170270 Aurora do Tocantins";7;7;2752,47;1669,40;112,94;-;896,81;-;-;393,21;393,21;15;2,1;-;-
"170290 Axixá do Tocantins";22;22;15008,32;9289,34;596,43;-;4805,73;-;-;682,20;682,20;61;2,8;-;-
"170300 Babaçulândia";23;23;59857,20;49059,28;473,35;-;10056,43;-;-;2602,49;2602,49;141;6,1;2;8,70
"170305 Bandeirantes do Tocantins";15;15;30903,08;23934,58;747,83;-;5775,57;-;-;2060,21;2060,21;89;5,9;-;-
"170307 Barra do Ouro";12;12;7246,06;5017,93;-;-;2228,13;-;-;603,84;603,84;83;6,9;-;-
"170310 Barrolândia";18;18;18286,47;13483,50;542,71;-;3949,24;-;-;1015,92;1015,92;119;6,6;-;-
"170320 Bernardo Sayão";24;24;18461,95;13923,72;323,60;-;4020,85;-;-;769,25;769,25;122;5,1;2;8,33
"170330 Bom Jesus do Tocantins";27;27;25344,91;20704,15;355,43;-;4106,26;-;-;938,70;938,70;102;3,8;1;3,70
"170360 Brasilândia do Tocantins";7;7;5732,01;3619,06;429,74;-;1448,06;-;-;818,86;818,86;27;3,9;-;-
"170370 Brejinho de Nazaré";15;15;18769,69;14286,75;298,54;-;4037,44;-;-;1251,31;1251,31;71;4,7;-;-
"170380 Buriti do Tocantins";25;25;35483,75;26851,81;149,27;-;8409,19;-;-;1419,35;1419,35;154;6,2;2;8,00
"170382 Cachoeirinha";9;9;25357,67;20124,06;149,27;-;5016,12;-;-;2817,52;2817,52;46;5,1;-;-
"170384 Campos Lindos";29;29;41793,75;34349,16;-;-;7444,59;-;-;1441,16;1441,16;183;6,3;2;6,90
"170386 Cariri do Tocantins";13;13;11180,94;8012,36;149,27;-;2945,83;-;-;860,07;860,07;60;4,6;1;7,69
"170388 Carmolândia";16;16;13884,49;9903,20;100,02;-;3811,79;-;-;867,78;867,78;63;3,9;1;6,25
