 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Nov/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150450 Melgaço";134;134;82103,62;62381,93;-;-;19721,69;-;-;612,71;612,71;437;3,3;2;1,49
"150460 Mocajuba";195;195;161014,26;122085,94;-;-;38928,32;-;-;825,71;825,71;774;4,0;-;-
"150470 Moju";384;384;353570,25;256919,27;6291,19;-;87124,38;-;-;920,76;920,76;1424;3,7;5;1,30
"150475 Mojuí dos Campos";22;22;36680,27;29000,02;-;-;7680,25;-;-;1667,28;1667,28;99;4,5;1;4,55
"150480 Monte Alegre";208;208;171930,98;128837,43;-;-;43093,55;-;-;826,59;826,59;1048;5,0;4;1,92
"150490 Muaná";38;38;55414,04;41336,72;-;-;14077,32;-;-;1458,26;1458,26;151;4,0;1;2,63
"150495 Nova Esperança do Piriá";76;76;66527,00;50773,35;-;-;15753,65;-;-;875,36;875,36;334;4,4;-;-
"150497 Nova Ipixuna";45;45;54066,14;42809,99;-;-;11256,15;-;-;1201,47;1201,47;188;4,2;1;2,22
"150500 Nova Timboteua";29;29;68597,07;57612,72;-;-;10984,35;-;-;2365,42;2365,42;268;9,2;2;6,90
"150503 Novo Progresso";165;165;62354,61;46456,25;-;-;15898,36;-;-;377,91;377,91;414;2,5;2;1,21
"150506 Novo Repartimento";220;220;212737,97;166043,11;-;-;46694,86;-;-;966,99;966,99;1066;4,8;5;2,27
"150510 Óbidos";277;277;164055,99;128973,23;-;-;35082,76;-;-;592,26;592,26;1062;3,8;10;3,61
"150520 Oeiras do Pará";201;201;147291,19;114462,17;-;-;32829,02;-;-;732,79;732,79;690;3,4;3;1,49
"150530 Oriximiná";353;353;276035,46;206546,07;-;-;69489,39;-;-;781,97;781,97;1465;4,2;8;2,27
"150540 Ourém";162;162;105893,36;78166,45;-;-;27726,91;-;-;653,66;653,66;476;2,9;2;1,23
"150543 Ourilândia do Norte";357;357;175560,89;138419,77;-;-;37141,12;-;-;491,77;491,77;1229;3,4;1;0,28
"150548 Pacajá";218;218;225769,16;179675,89;-;-;46093,27;-;-;1035,64;1035,64;1075;4,9;2;0,92
"150549 Palestina do Pará";52;52;51637,88;42526,06;-;-;9111,82;-;-;993,04;993,04;239;4,6;-;-
"150550 Paragominas";511;511;457741,14;344437,21;358,00;-;112794,07;-;-;895,78;895,78;2109;4,1;13;2,54
"150553 Parauapebas";783;783;739672,58;542653,16;-;-;197019,42;-;-;944,66;944,66;3702;4,7;16;2,04
"150555 Pau D'Arco";41;41;20771,23;16966,00;-;-;3805,23;-;-;506,62;506,62;112;2,7;-;-
"150560 Peixe-Boi";33;33;29724,10;22162,79;-;-;7561,31;-;-;900,73;900,73;97;2,9;-;-
"150563 Piçarra";74;74;22319,65;16946,27;-;-;5373,38;-;-;301,62;301,62;181;2,4;1;1,35
"150565 Placas";169;169;59749,33;48812,13;-;-;10937,20;-;-;353,55;353,55;329;1,9;2;1,18
"150570 Ponta de Pedras";64;64;86608,18;63650,53;-;-;22957,65;-;-;1353,25;1353,25;397;6,2;2;3,13
